,New Path,Orig Path,Vertices,CenterOfMass,Means,Scaling,AverageSize,DiagonalSize,Bounds,Position,Cells,Class,Type,Eigenvalue,Eigenvectors,Prev Eigenvalue,Prev Eigenvectors
11,../normshapes\AircraftBuoyant\m1348.obj,../shapes\AircraftBuoyant\m1348.obj,795,[-1.22565565e-10 -1.02160851e-09 -1.10732753e-09],[-5.0607718e-09 -2.5538155e-10 -3.2613863e-09],[1. 1. 1.],0.2783674,1.0486265882412216,[-0.15139847  0.17441645 -0.1582063   0.13840203 -0.43772602  0.5138442 ],[0. 0. 0.],1382,AircraftBuoyant,Triangle,[0.08403906 0.00639012 0.00363696],"[[ 0.00134798 -0.99992687 -0.01201827]
 [-0.01636513  0.01199461 -0.99979413]
 [-0.99986517 -0.00154438  0.01634777]]",[0.08403906 0.00363696 0.00639012],"[[ 0.00150281  0.99990749  0.01351893]
 [ 0.01486452 -0.01353978  0.99979784]
 [-0.99988839  0.00130156  0.01488349]]"
12,../normshapes\AircraftBuoyant\m1349.obj,../shapes\AircraftBuoyant\m1349.obj,432,[ 2.18332624e-09  1.09516636e-09 -4.60760121e-10],[-6.1225838e-09 -4.0960946e-09 -7.8961655e-09],[1. 1. 1.],0.22064304,1.042055670674023,[-0.48390827  0.47093818 -0.10916171  0.22598211 -0.12454159  0.12410858],[0. 0. 0.],640,AircraftBuoyant,Triangle,[0.0509046  0.00553908 0.0106754 ],"[[-9.99999999e-01  4.01071038e-05  1.77197606e-09]
 [ 5.86790801e-08  1.50724057e-03 -9.99998864e-01]
 [ 4.01070609e-05  9.99998863e-01  1.50724057e-03]]",[0.05090461 0.0106754  0.00553908],"[[-9.98584858e-01  5.31815891e-02 -1.52747296e-05]
 [ 5.31815625e-02  9.98584574e-01  7.54558793e-04]
 [-5.53817450e-05 -7.52678651e-04  9.99999715e-01]]"
13,../normshapes\AircraftBuoyant\m1350.obj,../shapes\AircraftBuoyant\m1350.obj,1097,[1.01982793e-09 1.58483224e-09 5.85578620e-10],[1.2021447e-09 1.0741197e-08 7.3215367e-09],[1. 1. 1.],0.15819055,1.0501246346987012,[-0.6002767   0.35576907 -0.18544805  0.14670542 -0.2314592   0.04856285],[0. 0. 0.],1976,AircraftBuoyant,Triangle,[0.03387363 0.00603303 0.00393676],"[[ 9.82726157e-01  1.31429863e-01 -1.30290031e-01]
 [ 1.30289869e-01 -9.91325472e-01 -1.72730744e-02]
 [ 1.31430024e-01  7.68991348e-07  9.91325450e-01]]",[0.03387364 0.00393676 0.00603303],"[[-9.91325458e-01 -1.31429970e-01  1.10155605e-07]
 [-5.73168086e-08 -4.05813027e-07 -1.00000000e+00]
 [-1.31429970e-01  9.91325458e-01 -3.94759638e-07]]"
14,../normshapes\AircraftBuoyant\m1351.obj,../shapes\AircraftBuoyant\m1351.obj,12987,[-3.23198407e-09  9.60516091e-11 -6.60338954e-10],[2.8358215e-07 3.4578896e-08 2.9250428e-08],[1. 1. 1.],0.17848669,0.9947606629317327,[-0.30095446  0.6504256  -0.09164923  0.09165076 -0.06557499  0.1598709 ],[0. 0. 0.],24466,AircraftBuoyant,Triangle,[0.03588715 0.00428565 0.00167125],"[[-1.00000000e+00  5.06663394e-06 -1.37604902e-10]
 [ 5.06663394e-06  1.00000000e+00 -5.41699605e-06]
 [-1.10158966e-10  5.41699605e-06  1.00000000e+00]]",[0.00428565 0.03588715 0.00167125],"[[ 1.00000000e+00 -2.52172401e-06 -2.72614553e-06]
 [ 2.55111923e-06 -6.69796964e-02  9.97754339e-01]
 [ 2.69865747e-06  9.97754339e-01  6.69796964e-02]]"
15,../normshapes\AircraftBuoyant\m1352.obj,../shapes\AircraftBuoyant\m1352.obj,3298,[-2.67853525e-09 -7.86412326e-11  7.54111200e-11],[-1.7361343e-09 -1.0568168e-08  2.4014454e-08],[1. 1. 1.],0.27261305,1.0588017580076428,[-0.4437236   0.50627583 -0.19050346  0.16147235 -0.15374732  0.15394609],[0. 0. 0.],6348,AircraftBuoyant,Triangle,[0.07047498 0.00495225 0.01012987],"[[-9.99997710e-01  2.14020568e-03  2.01468444e-06]
 [ 2.00922522e-06 -2.55293949e-06  1.00000000e+00]
 [-2.14020568e-03 -9.99997710e-01 -2.54863349e-06]]",[0.07047498 0.01012987 0.00495225],"[[ 0.99999658 -0.0023833  -0.00107235]
 [-0.00238531 -0.99999539 -0.0018792 ]
 [ 0.00106786 -0.00188176  0.99999766]]"
16,../normshapes\Apartment\D00045.obj,../shapes\Apartment\D00045.obj,14865,[2.04530791e-09 5.45673278e-09 2.81216007e-10],[-3.40947395e-08  1.23539801e-08 -1.09090735e-07],[1. 1. 1.],0.44798,2.1553020528422864,[-0.70051295  0.7123792  -0.68451554  0.75302666 -0.36481774  0.39842224],[0. 0. 0.],21021,Apartment,Triangle,[0.10693727 0.03665936 0.06283398],"[[ 0.99463596  0.07630732 -0.06983195]
 [ 0.06902081  0.01321913  0.99752763]
 [-0.07704178  0.99699671 -0.00788143]]",[0.10693727 0.03665936 0.06283398],"[[ 0.9780651   0.17381015  0.11479853]
 [ 0.09703149  0.10750378 -0.98945835]
 [ 0.18431918 -0.97889375 -0.08828064]]"
17,../normshapes\Apartment\D00086.obj,../shapes\Apartment\D00086.obj,20493,[4.34749514e-09 3.84001187e-09 1.16167291e-09],[ 2.3089856e-07  9.1880681e-09 -4.6602395e-08],[1. 1. 1.],0.42838374,2.523827554581148,[-0.8897145   0.90041065 -1.398984    0.26567194 -0.30252907  0.3252274 ],[0. 0. 0.],42064,Apartment,Triangle,[0.17361445 0.01156898 0.04179797],"[[ 9.99740149e-01 -2.27877644e-02 -5.93835090e-04]
 [-6.15873438e-04 -9.60107302e-04 -9.99999349e-01]
 [-2.27871794e-02 -9.99739864e-01  9.73892196e-04]]",[0.17361445 0.04179797 0.01156898],"[[ 0.99634248  0.08495874  0.00914742]
 [ 0.08435384 -0.99500204  0.05343571]
 [-0.01364153  0.05246865  0.99852939]]"
18,../normshapes\Apartment\D00138.obj,../shapes\Apartment\D00138.obj,10827,[ 8.31427682e-10 -6.14496857e-10  2.57202090e-10],[-4.4760601e-08  2.5136677e-08  2.4178775e-08],[1. 1. 1.],0.18904726,2.05499247727233,[-0.87613356  0.70731026 -0.8326544   0.35886756 -0.39333323  0.15070252],[0. 0. 0.],21140,Apartment,Triangle,[0.04053749 0.00691138 0.01949903],"[[ 0.99898106 -0.03119487  0.03261463]
 [-0.03102026  0.05029604  0.9982525 ]
 [ 0.03278074  0.99824706 -0.04927712]]",[0.04053749 0.00691138 0.01949903],"[[-9.99477518e-01 -3.23201586e-02  3.12140538e-04]
 [-4.84729086e-04  2.46447281e-02  9.99696155e-01]
 [ 3.23180309e-02 -9.99173681e-01  2.46475182e-02]]"
19,../normshapes\Apartment\D00156.obj,../shapes\Apartment\D00156.obj,12732,[-4.90716466e-09 -2.06057040e-09 -2.72360718e-09],[-1.0775370e-07 -5.9677210e-09 -3.1980383e-09],[1. 1. 1.],0.6577403,2.3868663119081774,[-0.8116039   0.82621866 -0.49064964  0.78831047 -0.58449304  0.58978504],[0. 0. 0.],19380,Apartment,Triangle,[0.02931208 0.23687052 0.19412456],"[[-0.03489212  0.99938954 -0.00175596]
 [-0.00444892  0.00160169  0.99998882]
 [-0.99938118 -0.03489954 -0.00439032]]",[0.23687052 0.19412456 0.02931208],"[[ 0.96834428  0.24787906  0.02941638]
 [ 0.24955814 -0.96395407 -0.09226745]
 [-0.00548487 -0.09668775  0.99529965]]"
20,../normshapes\Apartment\D00310.obj,../shapes\Apartment\D00310.obj,14464,[ 2.01227715e-09 -3.86488566e-09  2.10589530e-09],[-2.7606708e-07  4.2741938e-08  1.7542655e-08],[1. 1. 1.],0.5773757,2.185841891568823,[-0.83748245  0.9814961  -0.53685796  0.41784358 -0.36397335  0.38286448],[0. 0. 0.],9480,Apartment,Triangle,[0.27760058 0.02494206 0.07429363],"[[ 9.98838026e-01  4.81917215e-02  3.93840284e-04]
 [ 4.53201942e-04 -1.22086079e-03 -9.99999152e-01]
 [ 4.81911998e-02 -9.98837358e-01  1.24128276e-03]]",[0.27760058 0.07429363 0.02494206],"[[ 0.99840528 -0.051258   -0.02365413]
 [-0.05083436 -0.99854167  0.01817693]
 [ 0.02455135  0.0169455   0.99955494]]"
21,../normshapes\Apartment\D00348.obj,../shapes\Apartment\D00348.obj,2006,[ 7.14013732e-09  1.90114316e-09 -2.08688683e-10],[ 1.4113762e-08 -5.9753212e-08  1.1057018e-08],[1. 1. 1.],0.48177898,2.1538978772530877,[-0.8198166   0.822425   -0.43223408  0.5035096  -0.8349208   0.19789198],[0. 0. 0.],3008,Apartment,Triangle,[0.19116995 0.0048928  0.08250579],"[[ 0.99733889 -0.07288195 -0.00183443]
 [-0.00204322 -0.00279029 -0.99999402]
 [-0.07287639 -0.99733667  0.00293177]]",[0.19116995 0.08250579 0.0048928 ],"[[ 0.99625917  0.0792821   0.03438053]
 [ 0.07734198 -0.99551387  0.05450098]
 [-0.03854724  0.05163804  0.99792165]]"
22,../normshapes\Apartment\D00366.obj,../shapes\Apartment\D00366.obj,1294,[ 5.84139068e-09  4.10935290e-09 -7.79033521e-10],[4.9586088e-08 3.9521474e-08 8.8900283e-09],[1. 1. 1.],0.6026213,2.5958015959449585,[-0.9127671   0.7836853  -0.6832033   0.7823885  -0.7013856   0.60715395],[0. 0. 0.],2540,Apartment,Triangle,[0.20970553 0.08072606 0.1047377 ],"[[ 0.99895194  0.04498385 -0.00845409]
 [ 0.00837262  0.00199922  0.99996295]
 [-0.04499909  0.99898571 -0.00162049]]",[0.20970553 0.1047377  0.08072606],"[[ 0.99661581  0.07339569  0.03701341]
 [ 0.08181126 -0.92941841 -0.35984487]
 [-0.00798988 -0.3616552   0.93227768]]"
23,../normshapes\Apartment\D00478.obj,../shapes\Apartment\D00478.obj,19857,[-6.20658715e-09  4.54111634e-09  1.51539873e-09],[ 1.7673676e-07  2.1697147e-07 -8.8173273e-08],[1. 1. 1.],0.58261037,2.1723288201458417,[-0.796516    0.8446326  -0.46576777  0.6349054  -0.47277853  0.42953095],[0. 0. 0.],25206,Apartment,Triangle,[0.22955209 0.04703554 0.08497148],"[[ 0.99886222  0.04749781 -0.00426814]
 [ 0.00420445  0.00144074  0.99999012]
 [-0.04750349  0.9988703  -0.0012394 ]]",[0.22955209 0.08497148 0.04703554],"[[ 0.99813753  0.05380708  0.02874478]
 [ 0.05804459 -0.98265489 -0.17612551]
 [-0.0187694  -0.17746596  0.98394794]]"
24,../normshapes\Apartment\D00496.obj,../shapes\Apartment\D00496.obj,7737,[-4.87681944e-10  3.59591236e-09 -6.13472597e-09],[ 6.2801739e-08  2.9210281e-07 -5.4566332e-08],[1. 1. 1.],0.51895636,2.6827488682434684,[-1.1642889   0.6621454  -0.5667277   0.60017383 -0.73419756  0.8468212 ],[0. 0. 0.],2579,Apartment,Triangle,[0.04797047 0.11902877 0.12583616],"[[ 0.05078985  0.88564834  0.4615706 ]
 [ 0.90002413 -0.24090663  0.36320872]
 [-0.43287061 -0.39697736  0.80934048]]",[0.04797047 0.11902877 0.12583616],"[[ 5.27407637e-02  9.10681859e-01 -4.09727913e-01]
 [ 2.31046545e-02  4.09076305e-01  9.12207625e-01]
 [-9.98340917e-01  5.75771487e-02 -5.34007004e-04]]"
25,../normshapes\Apartment\D00626.obj,../shapes\Apartment\D00626.obj,73184,[ 7.62795553e-09 -9.70878138e-11  4.45609187e-10],[-2.8498317e-07 -2.6807064e-07 -1.3470378e-07],[1. 1. 1.],0.5545274,2.2210085706131,[-0.84004     0.94913256 -0.3821831   0.5737039  -0.56521755  0.3392273 ],[0. 0. 0.],64688,Apartment,Triangle,[0.25056354 0.0446895  0.06264458],"[[ 9.99980565e-01  6.21311817e-03 -5.17003320e-04]
 [ 5.17504585e-04 -7.90711373e-05  9.99999863e-01]
 [-6.21307643e-03  9.99980695e-01  8.22849177e-05]]",[0.25056353 0.06264458 0.0446895 ],"[[ 9.99660294e-01 -2.60456589e-02  9.59735332e-04]
 [-2.55284030e-02 -9.85901061e-01 -1.65370488e-01]
 [-5.25338741e-03 -1.65289810e-01  9.86231048e-01]]"
26,../normshapes\Apartment\D00639.obj,../shapes\Apartment\D00639.obj,4849,[ 3.26243196e-09  5.00977441e-09 -1.11662316e-09],[ 4.1854777e-09  1.1255001e-08 -2.6139261e-08],[1. 1. 1.],0.554428,2.337811821046836,[-0.7895045   0.9566289  -0.57498664  0.5473446  -0.53661525  0.5389101 ],[0. 0. 0.],7980,Apartment,Triangle,[0.1964315  0.08108464 0.05736936],"[[ 0.97601229  0.164974    0.14206895]
 [ 0.16265718 -0.9862895   0.02785067]
 [-0.14471575  0.00407406  0.98946488]]",[0.19643149 0.05736936 0.08108464],"[[ 0.98329075  0.18155036  0.01337046]
 [ 0.03728557 -0.12896214 -0.99094831]
 [ 0.17818274 -0.97488883  0.13357649]]"
27,../normshapes\Apartment\D00651.obj,../shapes\Apartment\D00651.obj,12732,[2.86486588e-09 5.71371259e-09 1.27846096e-09],[ 3.235841e-08  8.678065e-08 -6.823847e-09],[1. 1. 1.],0.6577403,2.394761725694288,[-0.8109691   0.82675034 -0.7922766   0.49235228 -0.5918753   0.5923914 ],[0. 0. 0.],19380,Apartment,Triangle,[0.02931208 0.23687052 0.19412456],"[[-0.0374758   0.99929601 -0.00174382]
 [ 0.01381737 -0.0012267  -0.99990378]
 [ 0.999202    0.03749629  0.01376167]]",[0.23687052 0.19412456 0.02931208],"[[ 0.76177253 -0.64632238 -0.04438462]
 [-0.64780794 -0.75921088 -0.06279896]
 [-0.00689109 -0.07659123  0.99703876]]"
28,../normshapes\Apartment\D00681.obj,../shapes\Apartment\D00681.obj,13823,[-1.09676205e-08 -8.28092116e-09 -5.25517263e-11],[-1.1544546e-07 -2.5552856e-08 -9.5149460e-08],[1. 1. 1.],0.637999,2.433887981498844,[-0.86689043  0.85192186 -0.5463862   0.6347817  -0.48545817  0.769268  ],[0. 0. 0.],15557,Apartment,Triangle,[0.30921977 0.03762018 0.09658267],"[[ 0.99258499  0.12131266  0.00763387]
 [ 0.00613363  0.01273531 -0.99990009]
 [ 0.12139776 -0.99253264 -0.01189679]]",[0.30921978 0.09658267 0.03762017],"[[ 0.97781977  0.19663208 -0.07214092]
 [ 0.20352876 -0.97335087  0.1056604 ]
 [ 0.0494422   0.11799958  0.99178202]]"
29,../normshapes\Apartment\D00780.obj,../shapes\Apartment\D00780.obj,8240,[-1.11012747e-08 -4.65212103e-09 -3.81282696e-10],[-1.1761067e-07 -2.5606850e-09 -7.0521914e-08],[1. 1. 1.],0.67680573,2.0308409339272044,[-0.7625427   0.94811416 -0.4215029   0.5048283  -0.2554258   0.32756522],[0. 0. 0.],13684,Apartment,Triangle,[0.36809068 0.0157519  0.12315976],"[[ 9.97812374e-01 -6.60974931e-02  1.25964557e-03]
 [-8.63629052e-04  6.01963105e-03  9.99981509e-01]
 [ 6.61038535e-02  9.97795012e-01 -5.94937864e-03]]",[0.36809068 0.12315976 0.0157519 ],"[[ 0.98319677 -0.17897371 -0.03595159]
 [-0.18003594 -0.98323687 -0.02884983]
 [ 0.03018556 -0.03483763  0.99893702]]"
30,../normshapes\Apartment\D00792.obj,../shapes\Apartment\D00792.obj,1327,[-1.14748486e-09 -2.63193374e-09 -4.32587756e-10],[ 3.163549e-08  8.121526e-09 -5.142978e-09],[1. 1. 1.],0.51462543,2.9696556537930645,[-0.8665525   0.6380574  -1.2456018   0.5918108  -0.8578105   0.92514175],[0. 0. 0.],1158,Apartment,Triangle,[0.17266151 0.04606575 0.09694567],"[[-0.89753835  0.37745337 -0.2279339 ]
 [ 0.09373743  0.66844983  0.73782662]
 [-0.43085752 -0.64086175  0.63534087]]",[0.17266151 0.09694567 0.04606576],"[[-0.46062879  0.80958936 -0.36384912]
 [ 0.88372963  0.38011416 -0.2730113 ]
 [ 0.08272284  0.44730111  0.89054963]]"
31,../normshapes\Apartment\D00859.obj,../shapes\Apartment\D00859.obj,1378,[-2.99621611e-09  2.30328675e-09  2.58499251e-09],[-5.7052631e-08 -3.4990155e-08 -2.0207942e-08],[1. 1. 1.],0.57007825,2.2873460675517827,[-0.97252524  0.90007335 -0.62820965  0.54299825 -0.4087656   0.18587579],[0. 0. 0.],2163,Apartment,Triangle,[0.25744909 0.01868207 0.0989198 ],"[[ 0.99955257 -0.02988504  0.00124583]
 [-0.00129109 -0.00149519  0.99999805]
 [ 0.02988312  0.99955222  0.00153311]]",[0.25744909 0.0989198  0.01868207],"[[ 0.9947761   0.10152261 -0.0106614 ]
 [ 0.100254   -0.99130078 -0.08527538]
 [ 0.01922603 -0.08376106  0.99630038]]"
32,../normshapes\Apartment\D00860.obj,../shapes\Apartment\D00860.obj,19857,[ 7.22497252e-09 -4.41923169e-09 -4.01370212e-09],[ 2.0610234e-07 -3.0207400e-07 -9.1520157e-08],[1. 1. 1.],0.58261037,2.1735674745089058,[-0.79524744  0.8455354  -0.4658185   0.63497645 -0.47379094  0.43201137],[0. 0. 0.],25206,Apartment,Triangle,[0.22955209 0.04703554 0.08497148],"[[ 0.99871307  0.05054619 -0.00415763]
 [ 0.00408401  0.00155979  0.99999044]
 [-0.05055219  0.99872051 -0.00135135]]",[0.22955209 0.08497148 0.04703554],"[[ 0.9980322   0.05509266  0.02994196]
 [ 0.0592148  -0.98516366 -0.16107818]
 [-0.02062351 -0.16253422  0.98648735]]"
33,../normshapes\Apartment\D00869.obj,../shapes\Apartment\D00869.obj,4930,[-7.49606050e-09  2.62961668e-09 -5.13332535e-09],[-3.8894147e-08  5.4345413e-09  2.7632133e-08],[1. 1. 1.],0.66172063,2.0463618404455723,[-0.77423775  0.7965137  -0.47290063  0.47252774 -0.4965125   0.412609  ],[0. 0. 0.],9069,Apartment,Triangle,[0.26627842 0.07982689 0.12188595],"[[ 0.99855209  0.05368556  0.00340436]
 [ 0.00320976  0.00371061 -0.99998796]
 [ 0.05369755 -0.998551   -0.00353292]]",[0.26627842 0.12188595 0.07982689],"[[ 0.99061291  0.13211515 -0.03509488]
 [ 0.13542341 -0.9834532   0.12033415]
 [ 0.0186162   0.12395723  0.99211292]]"
