,Path,Vertices,CenterOfMass,Means,Scaling,AverageSize,DiagonalSize,Bounds,Position,Cells,Class,Type,Eigenvalue,Eigenvectors,Distribution,FlippingMomentum
11,../shapes/Apartment/D00921.obj,12842,[ 0.2413255  -0.12752701 -0.09216273],[ 0.2413255  -0.12752701 -0.09216273],[1. 1. 1.],0.40712339458299646,2.2599015582325706,[-0.850705  0.822601 -0.487423  0.545748 -0.558467  0.554978],[0. 0. 0.],7983,Apartment,Triangle,"[[ 0.94408494  0.31905307 -0.08311902]
 [ 0.21163008 -0.77973161 -0.58926337]
 [ 0.25281682 -0.53872418  0.8036541 ]]",[0.08220139 0.05114192 0.06151274],1641.1920918914752,"[np.float64(676.786356128754), np.float64(-273.7903167207753), np.float64(-216.24194858563487)]"
12,../shapes/AquaticAnimal/m55.obj,19505,[0.09274598 0.17740759 0.68372766],[0.09274598 0.17740759 0.68372766],[1. 1. 1.],0.22373742836579716,1.0262183302864942,[0.025    0.18151  0.025    0.380146 0.025    0.975   ],[0. 0. 0.],37072,AquaticAnimal,Triangle,"[[ 0.0615859   0.99809744 -0.00294422]
 [ 0.01668159 -0.00397871 -0.99985294]
 [ 0.99796237 -0.06152773  0.01689488]]",[0.05669037 0.00118698 0.00413497],504.35381384216436,"[np.float64(369.7414535376221), np.float64(1324.9438134951183), np.float64(19325.178322041706)]"
13,../shapes/AquaticAnimal/m57.obj,18878,[0.08475104 0.18853803 0.66922081],[0.08475104 0.18853803 0.66922081],[1. 1. 1.],0.21900370433418428,1.0244368675609052,[0.025    0.143963 0.025    0.389443 0.025    0.975   ],[0. 0. 0.],36278,AquaticAnimal,Triangle,"[[-9.99998930e-01 -1.84669139e-04  1.45138392e-03]
 [-1.43903029e-03 -5.49999465e-02 -9.98485320e-01]
 [-2.64215463e-04  9.98486340e-01 -5.49996219e-02]]",[0.00068347 0.05013035 0.00591201],125.61987230115632,"[np.float64(285.332467901635), np.float64(1510.0921575860268), np.float64(18142.357939306545)]"
14,../shapes/AquaticAnimal/m63.obj,1112,[0.28012325 0.31798494 0.40386306],[0.28012325 0.31798494 0.40386306],[1. 1. 1.],0.24972062095591976,1.39918534130579,[0.025    0.975    0.025    0.724541 0.025    0.777238],[0. 0. 0.],1792,AquaticAnimal,Triangle,"[[ 0.94940246  0.31405971  0.0012082 ]
 [ 0.31397362 -0.94921943  0.02007576]
 [-0.00745183  0.01868064  0.99979773]]",[0.04384779 0.01902393 0.01444088],122.29203831018292,"[np.float64(242.21760847228185), np.float64(219.65784864635296), np.float64(320.6140565514542)]"
15,../shapes/AquaticAnimal/m72.obj,331,[0.24060458 0.10216127 0.59096553],[0.24060458 0.10216127 0.59096553],[1. 1. 1.],0.2557184996226254,1.07004587976077,[0.025    0.456203 0.025    0.262828 0.025    0.975   ],[0. 0. 0.],590,AquaticAnimal,Triangle,"[[ 3.50502440e-04  9.99997472e-01 -2.22110491e-03]
 [ 1.88060040e-02  2.21412071e-03  9.99820700e-01]
 [-9.99823090e-01  3.92209703e-04  1.88051804e-02]]",[0.07777543 0.00433456 0.00190725],64.50821624319423,"[np.float64(36.3158515462477), np.float64(7.115922992298446), np.float64(241.17686512184667)]"
16,../shapes/AquaticAnimal/m73.obj,285,[0.46122609 0.2701536  0.20001645],[0.46122609 0.2701536  0.20001645],[1. 1. 1.],0.32917947104664547,1.1700708922907193,[0.025    0.975    0.025    0.610865 0.025    0.376181],[0. 0. 0.],564,AquaticAnimal,Triangle,"[[ 9.99010901e-01 -4.44516634e-02 -1.12618950e-03]
 [-4.44516909e-02 -9.99011535e-01  6.15001240e-07]
 [ 1.12510364e-03 -4.94466347e-05  9.99999366e-01]]",[0.10172234 0.01648472 0.0042793 ],18.572421676487963,"[np.float64(176.038524760086), np.float64(50.502427875999444), np.float64(24.721613606759995)]"
17,../shapes/AquaticAnimal/m79.obj,166,[0.54346978 0.08748187 0.18520658],[0.54346978 0.08748187 0.18520658],[1. 1. 1.],0.22605308140834904,1.0159197059832041,[0.025    0.975    0.025    0.256171 0.025    0.300958],[0. 0. 0.],226,AquaticAnimal,Triangle,"[[ 0.99363008 -0.11184406  0.01379056]
 [-0.00571812 -0.17225672 -0.9850355 ]
 [-0.11254589 -0.97868204  0.17179899]]",[0.06341259 0.00138989 0.0016271 ],17.950196729549997,"[np.float64(87.32253958146576), np.float64(1.904288937413443), np.float64(7.99533867367711)]"
18,../shapes/Bed/D00031.obj,1867,[-0.16601179  0.05554633  0.02336353],[-0.16601179  0.05554633  0.02336353],[1. 1. 1.],0.6624384765648259,2.226108319666633,[-0.669666  0.930426 -0.708463  0.726534 -0.267503  0.312193],[0. 0. 0.],3590,Bed,Triangle,"[[-0.04008442 -0.9982518  -0.04343481]
 [ 0.03262356  0.04213906 -0.99857899]
 [-0.99866358  0.04144445 -0.03087741]]",[0.01236356 0.28520725 0.22218709],373.2004829432218,"[np.float64(-142.3653010797339), np.float64(123.45691735256985), np.float64(21.865931720235885)]"
19,../shapes/Bed/D00121.obj,15368,[-0.19096226  0.11417259  0.20733451],[-0.19096226  0.11417259  0.20733451],[1. 1. 1.],0.7465266843950408,2.429646098541514,[-0.912283  0.78579  -0.599669  0.858504 -0.482021  0.463209],[0. 0. 0.],24612,Bed,Triangle,"[[ 0.97536658  0.20549266 -0.08020478]
 [ 0.21046069 -0.97580213  0.05930003]
 [ 0.06607827  0.07471922  0.99501291]]",[0.38759629 0.15339093 0.03031534],1614.7723690875764,"[np.float64(-4429.8669172676655), np.float64(1992.7928670523386), np.float64(1700.7484172688494)]"
20,../shapes/Bed/D00538.obj,7136,[-0.00475788  0.1146729   0.10265701],[-0.00475788  0.1146729   0.10265701],[1. 1. 1.],0.9091634201657574,2.1802635229313454,[-0.838246  0.8386   -0.479658  0.702627 -0.325735  0.411787],[0. 0. 0.],13868,Bed,Triangle,"[[ 0.99558751  0.05642147  0.07498085]
 [ 0.07730096 -0.04012556 -0.99620003]
 [ 0.05319842 -0.9976004   0.04430994]]",[0.59003775 0.04203848 0.19631938],403.2969631558774,"[np.float64(-106.83726256879339), np.float64(1363.2614688424817), np.float64(485.4132804843086)]"
21,../shapes/Bed/D00735.obj,453,[-0.13221454  0.1241256   0.04714398],[-0.13221454  0.1241256   0.04714398],[1. 1. 1.],0.48421862284461353,2.39511791889126,[-0.644923  1.11344  -0.684425  0.73777  -0.312594  0.476146],[0. 0. 0.],684,Bed,Triangle,"[[ 0.97562333 -0.21766996 -0.02790903]
 [-0.21428134 -0.97234514  0.09288932]
 [ 0.04735643  0.0846446   0.99528522]]",[0.22168637 0.11605561 0.01230235],174.74023800526774,"[np.float64(-2.213308268378734), np.float64(41.11118650564759), np.float64(5.543361799291225)]"
22,../shapes/Bed/m948.obj,4597,[0.51297679 0.44666995 0.42297758],[0.51297679 0.44666995 0.42297758],[1. 1. 1.],0.6265522961475851,1.5916806339174954,[0.025    0.975    0.025    0.893382 0.025    0.961408],[0. 0. 0.],9038,Bed,Triangle,"[[-0.14074129 -0.9832638  -0.11569003]
 [-0.98940613  0.14388857 -0.01927678]
 [-0.03560064 -0.11175138  0.99309829]]",[0.098634   0.13901924 0.17409414],3051.7296594242907,"[np.float64(3612.9406491645695), np.float64(2708.244555609027), np.float64(3161.1734636437322)]"
23,../shapes/Bed/m950.obj,437,[0.39720744 0.44493801 0.49997186],[0.39720744 0.44493801 0.49997186],[1. 1. 1.],0.6338578520718481,1.4844176794234833,[0.025    0.769384 0.025    0.889227 0.025    0.975   ],[0. 0. 0.],724,Bed,Triangle,"[[ 9.99999994e-01  1.05313186e-04  3.95088175e-05]
 [ 1.07614253e-04 -9.97972517e-01 -6.36462419e-02]
 [-3.27259255e-05 -6.36462457e-02  9.97972522e-01]]",[0.09869962 0.13116542 0.17607954],96.31504920651456,"[np.float64(178.14287775329217), np.float64(229.61050585832484), np.float64(291.6444529077832)]"
24,../shapes/Bicycle/D00555.obj,34364,[0.0209129  0.10363354 0.02713095],[0.0209129  0.10363354 0.02713095],[1. 1. 1.],0.5673975707051957,2.398759220379986,[-0.953013  0.973589 -0.49476   0.757895 -0.333261  0.354566],[0. 0. 0.],64544,Bicycle,Triangle,"[[ 0.99967402 -0.02499975  0.00518269]
 [-0.02502097 -0.99967864  0.00406984]
 [-0.00507928  0.00419819  0.99997829]]",[0.26819921 0.0816824  0.00659577],717.6965487190664,"[np.float64(1354.887979980019), np.float64(3885.651039644661), np.float64(173.29322680563106)]"
25,../shapes/Bicycle/D00904.obj,5354,[0.08402949 0.12689448 0.00150127],[0.08402949 0.12689448 0.00150127],[1. 1. 1.],0.5984763835200723,2.310577862908108,[-0.959896  0.953013 -0.599316  0.637406 -0.196088  0.191298],[0. 0. 0.],10548,Bicycle,Triangle,"[[ 0.99198194  0.12634241  0.00307079]
 [ 0.12632712 -0.99197728  0.00474807]
 [-0.00364604  0.00432208  0.99998401]]",[0.29776572 0.09531344 0.00263736],910.637278516407,"[np.float64(576.7680892779729), np.float64(711.6906177295936), np.float64(-0.45472805140721617)]"
26,../shapes/Bicycle/D00931.obj,32603,[-0.04375733  0.10297372 -0.06291257],[-0.04375733  0.10297372 -0.06291257],[1. 1. 1.],0.4902494381060395,2.152935865153442,[-0.920573  0.849829 -0.400919  0.684049 -0.432948  0.135958],[0. 0. 0.],64230,Bicycle,Triangle,"[[ 0.98330698 -0.17433     0.05211944]
 [-0.16051367 -0.96598822 -0.20273658]
 [-0.08568983 -0.19098641  0.97784531]]",[0.21226612 0.06341378 0.00665509],1485.2809022526737,"[np.float64(-1638.2277929355937), np.float64(2367.042641153513), np.float64(-906.7229443059965)]"
27,../shapes/Bicycle/m1473.obj,2192,[0.50795718 0.24512848 0.17045993],[0.50795718 0.24512848 0.17045993],[1. 1. 1.],0.29679165614381403,1.126840986337469,[0.025    0.975    0.025    0.557643 0.025    0.314071],[0. 0. 0.],4448,Bicycle,Triangle,"[[ 9.98809830e-01  4.87735546e-02  2.53783695e-04]
 [ 4.87722037e-02 -9.98802375e-01  3.88423066e-03]
 [-4.42927493e-04  3.86723018e-03  9.99992424e-01]]",[0.08090855 0.0156622  0.00069701],122.22499379093657,"[np.float64(1506.5890310060151), np.float64(326.4964440706616), np.float64(131.45740975809295)]"
28,../shapes/Bicycle/m1475.obj,6049,[0.4864563  0.21664506 0.1372155 ],[0.4864563  0.21664506 0.1372155 ],[1. 1. 1.],0.20781072686705201,1.0881495294719379,[0.025    0.975    0.025    0.513449 0.025    0.232333],[0. 0. 0.],12065,Bicycle,Triangle,"[[ 0.92423417  0.38182153 -0.00187272]
 [ 0.38161575 -0.92355104  0.03772122]
 [-0.01267323  0.0355779   0.99928655]]",[0.04556199 0.01358477 0.0009254 ],1320.5581999883073,"[np.float64(3336.0864761799885), np.float64(763.3835731599454), np.float64(238.6301768007921)]"
29,../shapes/Bicycle/m1476.obj,436,[0.15897068 0.27499105 0.52022824],[0.15897068 0.27499105 0.52022824],[1. 1. 1.],0.27512917952798094,1.1314334856075279,[0.025    0.299675 0.025    0.574723 0.025    0.975   ],[0. 0. 0.],916,Bicycle,Triangle,"[[-0.99989768  0.01420754 -0.00166557]
 [ 0.01393672  0.99378499  0.1104408 ]
 [-0.00322431 -0.11040628  0.99388131]]",[0.00109771 0.02122927 0.0652218 ],30.41966556679145,"[np.float64(23.981195386071988), np.float64(87.55084386366806), np.float64(303.8349933446284)]"
30,../shapes/Biplane/D00276.obj,567,[-0.32785492  0.0759671   0.13116074],[-0.32785492  0.0759671   0.13116074],[1. 1. 1.],0.4768199902456539,2.592742786880719,[-1.08018   0.699036 -0.864861  0.766394 -0.468883  0.477538],[0. 0. 0.],916,Biplane,Triangle,"[[ 1.78816032e-01 -9.08726575e-01 -3.77148298e-01]
 [ 7.49182741e-04  3.83452201e-01 -9.23560419e-01]
 [-9.83882242e-01 -1.64864856e-01 -6.92482032e-02]]",[0.0438167  0.11934581 0.13616973],42.24220673696798,"[np.float64(-169.43234961467383), np.float64(-0.3635522704604415), np.float64(37.37930070591081)]"
31,../shapes/Biplane/D00277.obj,22427,[-0.09817587 -0.0434229   0.0094486 ],[-0.09817587 -0.0434229   0.0094486 ],[1. 1. 1.],0.29127518605160224,2.3765533591893115,[-0.557817  0.804851 -1.05515   0.813411 -0.278621  0.268756],[0. 0. 0.],41567,Biplane,Triangle,"[[ 0.99973644 -0.0161532   0.01631323]
 [-0.01519528  0.06706694  0.99763276]
 [ 0.01720904  0.99761771 -0.06680381]]",[0.07170708 0.01124457 0.04238678],55329.129393282834,"[np.float64(296.5880269033036), np.float64(-641.1597579002422), np.float64(26.91917037045942)]"
32,../shapes/Biplane/D00320.obj,9723,[-0.00136033  0.04457353  0.01824898],[-0.00136033  0.04457353  0.01824898],[1. 1. 1.],0.36104759916809986,2.3447513786841028,[-0.990106  0.984606 -0.75142   0.427939 -0.152266  0.303238],[0. 0. 0.],17476,Biplane,Triangle,"[[-0.01151524  0.99987445 -0.0108849 ]
 [-0.00368847  0.01084307  0.99993441]
 [-0.99992689 -0.01155463 -0.00356315]]",[0.01051447 0.09234232 0.07408992],2173.69328688192,"[np.float64(-12.101928762852191), np.float64(-123.82882083118645), np.float64(70.33495012017889)]"
33,../shapes/Biplane/m1134.obj,338,[0.22293053 0.50007378 0.07600688],[0.22293053 0.50007378 0.07600688],[1. 1. 1.],0.2274400856415747,1.091857858214154,[0.025    0.542388 0.025    0.975    0.025    0.1732  ],[0. 0. 0.],512,Biplane,Triangle,"[[-9.99127983e-01  4.17521112e-02 -1.85978574e-04]
 [-1.86380508e-04 -5.73407892e-06  9.99999983e-01]
 [-4.17521094e-02 -9.99128000e-01 -1.35108584e-05]]",[0.02309563 0.00115562 0.04855151],45.38839166566096,"[np.float64(30.630870388585183), np.float64(138.49813805798155), np.float64(3.1973093614889954)]"
34,../shapes/Biplane/m1143.obj,3336,[0.19520923 0.50003685 0.10471679],[0.19520923 0.50003685 0.10471679],[1. 1. 1.],0.20773115036802803,1.0800621960766887,[0.025    0.504495 0.025    0.975    0.025    0.209713],[0. 0. 0.],6570,Biplane,Triangle,"[[-9.97539057e-01 -7.01129433e-02 -6.96054214e-05]
 [ 7.61332709e-05 -9.04325220e-05 -9.99999993e-01]
 [-7.01129365e-02  9.97539055e-01 -9.55479005e-05]]",[0.02036339 0.00342241 0.02885719],704.3337817526036,"[np.float64(364.5690790190142), np.float64(1825.6317208846353), np.float64(91.27709932406317)]"
35,../shapes/Biplane/m1144.obj,3627,[0.49783718 0.18999259 0.18287936],[0.49783718 0.18999259 0.18287936],[1. 1. 1.],0.17757596972020495,1.2050497144172103,[0.025    0.975    0.025    0.716901 0.025    0.291304],[0. 0. 0.],6736,Biplane,Triangle,"[[-0.99870804  0.04966963  0.01073194]
 [ 0.04812495  0.9923028  -0.11410149]
 [ 0.01631671  0.1134376   0.99341113]]",[0.01890751 0.02194818 0.00529078],1821.4309536905384,"[np.float64(1780.7727069621337), np.float64(376.760709643284), np.float64(260.7302513174775)]"
36,../shapes/Bird/D00546.obj,1162,[-0.23432716  0.04131901  0.03632965],[-0.23432716  0.04131901  0.03632965],[1. 1. 1.],0.23172128686386623,2.1102484106258674,[-1.23614   0.715362 -0.288082  0.408477 -0.248996  0.150496],[0. 0. 0.],2012,Bird,Triangle,"[[ 0.99778296  0.05959752 -0.02961926]
 [ 0.03938237 -0.16997562  0.98466102]
 [-0.0536488   0.98364446  0.17194587]]",[0.04712614 0.00481533 0.02830629],92.81095950535475,"[np.float64(-163.89552252474684), np.float64(14.640345467833773), np.float64(7.648428154093878)]"
37,../shapes/Bird/D00599.obj,1792,[-0.23533402 -0.02580644  0.0178324 ],[-0.23533402 -0.02580644  0.0178324 ],[1. 1. 1.],0.3719223905225092,2.1038340275128644,[-1.20739   0.749861 -0.452237  0.290011 -0.05299   0.157614],[0. 0. 0.],3626,Bird,Triangle,"[[ 0.99950033 -0.03046154 -0.00843655]
 [-0.03070697 -0.9990576  -0.03067562]
 [ 0.00749417 -0.03091936  0.99949379]]",[0.16913345 0.01957043 0.00286789],29.362921928703923,"[np.float64(-573.509971904427), np.float64(-24.899690801764653), np.float64(8.575229770399405)]"
38,../shapes/Bird/m34.obj,233,[0.49999345 0.1460853  0.29366611],[0.49999345 0.1460853  0.29366611],[1. 1. 1.],0.21122975004759448,1.1072762525968847,[0.025    0.975    0.025    0.257154 0.025    0.544293],[0. 0. 0.],462,Bird,Triangle,"[[-9.99999982e-01  1.87165790e-04 -5.38592743e-06]
 [ 2.19761820e-05  1.45883972e-01  9.89301706e-01]
 [-1.85949155e-04 -9.89301689e-01  1.45883974e-01]]",[0.04000592 0.01263455 0.00487073],12.719195635946246,"[np.float64(133.10524751456444), np.float64(12.008332839947109), np.float64(45.55888290606333)]"
39,../shapes/Bird/m37.obj,567,[0.49973975 0.20697216 0.44863551],[0.49973975 0.20697216 0.44863551],[1. 1. 1.],0.2595157957465624,1.2619787738995454,[0.025    0.975    0.025    0.437258 0.025    0.746203],[0. 0. 0.],1130,Bird,Triangle,"[[-9.99831532e-01 -1.83550486e-02 -1.87266801e-05]
 [-4.23062735e-03  2.31442192e-01 -9.72839459e-01]
 [-1.78608497e-02  9.72675487e-01  2.31480855e-01]]",[0.03681454 0.03501052 0.00888005],77.20217513666366,"[np.float64(321.3813951275562), np.float64(59.31064610688995), np.float64(266.07459759784876)]"
40,../shapes/Bird/m41.obj,1824,[0.49964698 0.10632516 0.29056732],[0.49964698 0.10632516 0.29056732],[1. 1. 1.],0.19733741148625553,1.055197741969248,[0.025    0.975    0.025    0.147249 0.025    0.467716],[0. 0. 0.],3709,Bird,Triangle,"[[ 9.99999797e-01 -5.91056814e-04  2.39500460e-04]
 [-2.83343254e-04 -7.53281475e-02  9.97158759e-01]
 [ 5.71336352e-04  9.97158624e-01  7.53282996e-02]]",[0.04371809 0.00621901 0.00091361],42.39448210554372,"[np.float64(1084.321901175628), np.float64(45.29083493542554), np.float64(336.46182300386107)]"
41,../shapes/Bookset/D01009.obj,444,[0.21094008 0.03690482 0.15810811],[0.21094008 0.03690482 0.15810811],[1. 1. 1.],0.1912254020641927,0.5629387178015028,[0.   0.42 0.   0.26 0.   0.27],[0. 0. 0.],3156,Bookset,Triangle,"[[-0.00301239 -0.99995118 -0.00941123]
 [-0.99807512  0.00358944 -0.06191255]
 [-0.06194331 -0.00920661  0.99803721]]",[0.00650345 0.01547116 0.01761102],289.7101659773399,"[np.float64(189.907627228264), np.float64(21.944606476561386), np.float64(113.28974999999939)]"
42,../shapes/Bookset/D01030.obj,208,[0.24089692 0.16466017 0.11975083],[0.24089692 0.16466017 0.11975083],[1. 1. 1.],0.2171489789702225,0.6267326965948082,[ 0.        0.421721 -0.        0.306934 -0.        0.347472],[0. 0. 0.],1152,Bookset,Triangle,"[[-0.50155067 -0.8281979  -0.25007033]
 [-0.22194684 -0.15620246  0.96246579]
 [ 0.83617374 -0.53822768  0.10547246]]",[0.02070273 0.01289963 0.01601856],15.686228995761505,"[np.float64(83.99325524222131), np.float64(40.81366177631782), np.float64(31.561594582324336)]"
43,../shapes/Bookset/D01065.obj,360,[3.67882267 0.54069853 0.13212744],[3.67882267 0.54069853 0.13212744],[1. 1. 1.],0.21253301979439015,0.6327883306928157,"[ 3.387116e+00  3.888541e+00  4.483350e-01  7.142410e-01 -4.000000e-04
  2.794000e-01]",[0. 0. 0.],918,Bookset,Triangle,"[[ 0.80951347 -0.58621382  0.03226911]
 [-0.02349801  0.0225686   0.99946911]
 [ 0.58663088  0.80984197 -0.00449472]]",[0.01950358 0.01553979 0.01263651],4.503853416548028,"[np.float64(12440.058829710166), np.float64(258.686716236771), np.float64(19.32428346718936)]"
44,../shapes/Bookset/D01146.obj,2694,[2.38553192 2.11962271 0.17318064],[2.38553192 2.11962271 0.17318064],[1. 1. 1.],0.15102289219082607,0.843822883624875,[2.10781  2.82142  2.01541  2.3333   0.       0.318973],[0. 0. 0.],7149,Bookset,Triangle,"[[ 0.94717272 -0.29601251  0.1234521 ]
 [-0.28528153 -0.95347693 -0.09744841]
 [-0.14655468 -0.05708187  0.98755424]]",[0.0176951  0.00656099 0.00255619],1702.4171723011907,"[np.float64(40331.88394533617), np.float64(32821.81449662619), np.float64(239.07759492090727)]"
45,../shapes/Bookset/D01182.obj,188,[-0.0228914   0.07404049  0.10737686],[-0.0228914   0.07404049  0.10737686],[1. 1. 1.],0.1424517092274015,0.38085220275718507,[-0.108086  0.072563  0.013947  0.246285  0.        0.24173 ],[0. 0. 0.],1020,Bookset,Triangle,"[[-0.93401264  0.34207153 -0.1029925 ]
 [ 0.35303185  0.92793996 -0.11956565]
 [-0.05467085  0.14803547  0.9874698 ]]",[0.00194003 0.00655794 0.01263627],13.817134028016193,"[np.float64(-1.857073999471666), np.float64(8.691503435932956), np.float64(18.955329969660696)]"
