,Path,Vertices,CenterOfMass,Means,Scaling,AverageSize,DiagonalSize,Bounds,Position,Cells,Class,Type,Eigenvalue,Eigenvectors,Distribution
12,../shapes/AquaticAnimal/m66.obj,4117,[0.24203397 0.30311843 0.5967383 ],[0.24203397 0.30311843 0.5967383 ],[1. 1. 1.],0.287396898332323,1.1629936950964093,[0.025    0.445705 0.025    0.547553 0.025    0.975   ],[0. 0. 0.],8196,AquaticAnimal,Triangle,"[[ 0.03901673  0.99381542 -0.10396448]
 [ 0.21249645  0.09341167  0.97268675]
 [-0.97638259  0.06004314  0.20753763]]",[0.07709994 0.0065652  0.00514867],122563.75337136492
13,../shapes/AquaticAnimal/m81.obj,857,[0.21681205 0.10910881 0.54467882],[0.21681205 0.10910881 0.54467882],[1. 1. 1.],0.24885288075965403,1.0606442617579186,[0.025  0.4145 0.025  0.291  0.025  0.975 ],[0. 0. 0.],1673,AquaticAnimal,Triangle,"[[ 8.28422658e-04  9.99137378e-01  4.15188294e-02]
 [ 8.46584907e-02 -4.14398646e-02  9.95547928e-01]
 [-9.96409682e-01 -2.69018697e-03  8.46197922e-02]]",[0.07368098 0.00180578 0.00230432],75.67968994802327
14,../shapes/AquaticAnimal/m57.obj,18878,[0.08475104 0.18853803 0.66922081],[0.08475104 0.18853803 0.66922081],[1. 1. 1.],0.21900370433418428,1.0244368675609052,[0.025    0.143963 0.025    0.389443 0.025    0.975   ],[0. 0. 0.],36278,AquaticAnimal,Triangle,"[[-9.99998930e-01 -1.84669139e-04  1.45138392e-03]
 [-1.43903029e-03 -5.49999465e-02 -9.98485320e-01]
 [-2.64215463e-04  9.98486340e-01 -5.49996219e-02]]",[0.00068347 0.05013035 0.00591201],125.61987230115632
15,../shapes/AquaticAnimal/m56.obj,5814,[0.09715948 0.17070122 0.7132265 ],[0.09715948 0.17070122 0.7132265 ],[1. 1. 1.],0.21154999174006597,1.0200474019573795,[0.025    0.168956 0.025    0.367452 0.025    0.975   ],[0. 0. 0.],10893,AquaticAnimal,Triangle,"[[ 9.99963163e-01  8.58243737e-03  1.19653977e-04]
 [ 8.57948928e-03 -9.99839207e-01  1.57465206e-02]
 [-2.54778265e-04  1.57449140e-02  9.99876009e-01]]",[0.00092353 0.00337462 0.05384921],330.31796724156203
16,../shapes/Bed/D00735.obj,453,[-0.13221454  0.1241256   0.04714398],[-0.13221454  0.1241256   0.04714398],[1. 1. 1.],0.48421862284461353,2.39511791889126,[-0.644923  1.11344  -0.684425  0.73777  -0.312594  0.476146],[0. 0. 0.],684,Bed,Triangle,"[[ 0.97562333 -0.21766996 -0.02790903]
 [-0.21428134 -0.97234514  0.09288932]
 [ 0.04735643  0.0846446   0.99528522]]",[0.22168637 0.11605561 0.01230235],174.74023800526774
17,../shapes/Bed/D00545.obj,415,[-0.00745233  0.1494848   0.02958728],[-0.00745233  0.1494848   0.02958728],[1. 1. 1.],0.8176447684881667,2.232170997057349,[-0.832734  0.876784 -0.47967   0.747412 -0.39825   0.346334],[0. 0. 0.],838,Bed,Triangle,"[[ 0.99846683  0.05427608  0.01086679]
 [ 0.01065294  0.00422776 -0.99993432]
 [ 0.05431846 -0.99851702 -0.00364308]]",[0.43633328 0.02791612 0.22098208],196.48669880652176
18,../shapes/Bed/D00650.obj,3752,[-0.01456413 -0.08215799 -0.07833704],[-0.01456413 -0.08215799 -0.07833704],[1. 1. 1.],0.9017601190079599,2.0581267656832996,[-0.863733  0.833154 -0.550605  0.377532 -0.421559  0.282019],[0. 0. 0.],7443,Bed,Triangle,"[[ 0.99865753 -0.04586831 -0.02406747]
 [-0.02542425 -0.02922961 -0.99924934]
 [-0.0451304  -0.99851977  0.03035653]]",[0.62941292 0.0385588  0.15056232],668.5684094637433
19,../shapes/Bed/D00307.obj,2644,[-0.13253326 -0.07024604 -0.01286709],[-0.13253326 -0.07024604 -0.01286709],[1. 1. 1.],0.6391273350587972,2.561521812619404,[-0.820216  0.991699 -0.833938  0.872106 -0.213808  0.392634],[0. 0. 0.],5259,Bed,Triangle,"[[-0.03385267 -0.99648686 -0.0766024 ]
 [-0.03944899 -0.07525431  0.99638374]
 [ 0.99864797 -0.03675214  0.03676284]]",[0.010595   0.22648868 0.24233274],353.26151863035585
20,../shapes/Bed/D00184.obj,7218,[-0.17546487 -0.07941271 -0.08724491],[-0.17546487 -0.07941271 -0.08724491],[1. 1. 1.],0.6341616403308453,2.4336311692146366,[-0.937684  0.750002 -0.891329  0.664602 -0.466361  0.341943],[0. 0. 0.],14204,Bed,Triangle,"[[ 0.93221841 -0.35015781 -0.09142396]
 [-0.34259695 -0.93527585  0.08880554]
 [ 0.11660257  0.05146459  0.99184436]]",[0.25347395 0.16633847 0.03146101],4604.530377130539
21,../shapes/Bed/D00839.obj,16364,[ 0.03929743 -0.17861752  0.07427842],[ 0.03929743 -0.17861752  0.07427842],[1. 1. 1.],0.7963586949242953,2.2976935841565123,[-0.800648  0.864395 -0.877287  0.569772 -0.351917  0.290771],[0. 0. 0.],32648,Bed,Triangle,"[[ 0.97738133 -0.20774634 -0.03958793]
 [-0.21012691 -0.97511799 -0.0706511 ]
 [ 0.0239254  -0.07737155  0.99671521]]",[0.47163259 0.15703885 0.01431196],4099.6302669336
22,../shapes/Bicycle/D00567.obj,436,[-0.01827528  0.04528028  0.00704653],[-0.01827528  0.04528028  0.00704653],[1. 1. 1.],0.5559515149407429,2.3237416193122673,[-0.923799  0.991099 -0.503743  0.689679 -0.288646  0.266948],[0. 0. 0.],916,Bicycle,Triangle,"[[ 0.99948225 -0.03215385 -0.00116393]
 [-0.03209827 -0.99894431  0.0328627 ]
 [ 0.00221937  0.03280832  0.9994592 ]]",[0.26631357 0.08668334 0.00448216],30.420047685320093
23,../shapes/Bicycle/m1476.obj,436,[0.15897068 0.27499105 0.52022824],[0.15897068 0.27499105 0.52022824],[1. 1. 1.],0.27512917952798094,1.1314334856075279,[0.025    0.299675 0.025    0.574723 0.025    0.975   ],[0. 0. 0.],916,Bicycle,Triangle,"[[-0.99989768  0.01420754 -0.00166557]
 [ 0.01393672  0.99378499  0.1104408 ]
 [-0.00322431 -0.11040628  0.99388131]]",[0.00109771 0.02122927 0.0652218 ],30.41966556679145
24,../shapes/Bicycle/D00016.obj,2769,[ 0.04350924  0.05789344 -0.00688587],[ 0.04350924  0.05789344 -0.00688587],[1. 1. 1.],0.5865918464402348,2.2908050831201243,[-0.914299  0.959955 -0.44062   0.818183 -0.209935  0.177847],[0. 0. 0.],5049,Bicycle,Triangle,"[[ 0.99976301 -0.02067455  0.00681844]
 [-0.02064141 -0.99977496 -0.00489533]
 [-0.00691812 -0.00475342  0.99996477]]",[0.32018279 0.08086464 0.00236648],112.61893603690847
25,../shapes/Bicycle/D00621.obj,2769,[ 0.04036698  0.04386825 -0.00931268],[ 0.04036698  0.04386825 -0.00931268],[1. 1. 1.],0.5865937161979021,2.2950713974125074,[-0.914804  0.956869 -0.720661  0.549773 -0.212118  0.175426],[0. 0. 0.],5049,Bicycle,Triangle,"[[ 0.99994681  0.00646067 -0.00804009]
 [ 0.00801372  0.00409822  0.99995949]
 [-0.00649336  0.99997073 -0.00404623]]",[0.32018483 0.00236649 0.08086515],112.575913102166
26,../shapes/Bicycle/D00077.obj,16416,[-0.05994833 -0.19672588 -0.0081851 ],[-0.05994833 -0.19672588 -0.0081851 ],[1. 1. 1.],0.4824359657678135,2.3054067622504277,[-0.846692  1.04491  -0.658064  0.486785 -0.363761  0.288974],[0. 0. 0.],32265,Bicycle,Triangle,"[[ 9.78409341e-01  2.06345155e-01 -1.16978063e-02]
 [ 2.06674769e-01 -9.76603464e-01  5.94240214e-02]
 [-8.37740802e-04  6.05586590e-02  9.98164289e-01]]",[0.21861307 0.06218885 0.0043226 ],938.9098391018956
27,../shapes/Bicycle/D00558.obj,19417,[-0.0047075  -0.02081866 -0.01353511],[-0.0047075  -0.02081866 -0.01353511],[1. 1. 1.],0.5263200144249731,2.312727182757188,[-1.01428   0.938784 -0.539415  0.584583 -0.283491  0.236967],[0. 0. 0.],37661,Bicycle,Triangle,"[[ 0.99789093 -0.0645139   0.00718698]
 [-0.06446607 -0.99789741 -0.00669916]
 [-0.00760406 -0.00622171  0.99995173]]",[0.24064428 0.07029956 0.00533454],308.3762178018797
28,../shapes/Biplane/m1137.obj,408,[0.17291711 0.49907074 0.10932589],[0.17291711 0.49907074 0.10932589],[1. 1. 1.],0.1837180104196702,1.0601630007753524,[0.025    0.461983 0.025    0.975    0.025    0.199618],[0. 0. 0.],524,Biplane,Triangle,"[[ 9.99583567e-01  2.86018487e-02 -3.82454293e-03]
 [-3.82420265e-03 -6.65981746e-05 -9.99992685e-01]
 [ 2.86018942e-02 -9.99590881e-01 -4.28088246e-05]]",[0.01470252 0.00099032 0.03803275],38.90221303099475
29,../shapes/Biplane/D00666.obj,469,[-0.19157021  0.00866465  0.01801388],[-0.19157021  0.00866465  0.01801388],[1. 1. 1.],0.5254955018769639,2.742491151106599,[-1.22452   0.693364 -0.946743  0.962328 -0.266142  0.179309],[0. 0. 0.],794,Biplane,Triangle,"[[ 0.99960129  0.02397315  0.01491791]
 [ 0.01537075 -0.01881727 -0.99970478]
 [ 0.02368536 -0.99953549  0.01917825]]",[0.24150037 0.01002666 0.08697635],56.98402571349924
30,../shapes/Biplane/D00069.obj,3242,[-0.07985911 -0.0969623   0.01932961],[-0.07985911 -0.0969623   0.01932961],[1. 1. 1.],0.42178670534665536,2.2438054165675774,[-1.06342   0.905137 -0.446842  0.553446 -0.198847  0.199738],[0. 0. 0.],6326,Biplane,Triangle,"[[ 0.99994821 -0.01009863  0.00126393]
 [-0.00101789  0.0243319   0.99970342]
 [ 0.01012639  0.99965293 -0.02432036]]",[0.11319739 0.01443571 0.08909413],541.957779565099
31,../shapes/Biplane/m1129.obj,3351,[0.50005229 0.18035779 0.49876402],[0.50005229 0.18035779 0.49876402],[1. 1. 1.],0.20545176391573153,1.2086587970411666,[0.025    0.975    0.025    0.346551 0.025    0.699508],[0. 0. 0.],6272,Biplane,Triangle,"[[-0.00617488  0.9999211  -0.01093921]
 [ 0.99567772  0.00513417 -0.09273362]
 [ 0.09267014  0.01146455  0.99563086]]",[0.00426949 0.02613779 0.02873482],130.20038091549125
32,../shapes/Biplane/D00490.obj,24998,[ 0.0790611  -0.06882874  0.00600877],[ 0.0790611  -0.06882874  0.00600877],[1. 1. 1.],0.4466859109089744,2.275927606042644,[-0.858495  0.970724 -0.555024  0.710541 -0.26707   0.214749],[0. 0. 0.],46318,Biplane,Triangle,"[[ 0.38438299  0.92311905 -0.01004698]
 [ 0.92280847 -0.38390205  0.03230692]
 [-0.02596607  0.02168967  0.9994275 ]]",[0.14301776 0.08599932 0.0108647 ],46986.85175542134
33,../shapes/Biplane/D00515.obj,5381,[-0.20922634  0.04745086 -0.01055964],[-0.20922634  0.04745086 -0.01055964],[1. 1. 1.],0.5208899448934393,2.4266679075178375,[-0.890078  0.687934 -0.889517  0.863811 -0.31532   0.254273],[0. 0. 0.],10522,Biplane,Triangle,"[[ 0.8828266   0.46918885  0.02188652]
 [ 0.46918969 -0.8830808   0.00541559]
 [-0.02186849 -0.0054879   0.99974579]]",[0.20713031 0.1070639  0.02477182],7165.308505464839
34,../shapes/Bird/D00323.obj,260,[ 0.21601087  0.04108317 -0.00255793],[ 0.21601087  0.04108317 -0.00255793],[1. 1. 1.],0.4048226120092027,2.0487283186918663,[-0.777682  1.19869  -0.188336  0.343315 -0.049014  0.043661],[0. 0. 0.],364,Bird,Triangle,"[[ 0.99915184 -0.03824538  0.01526062]
 [-0.03841311 -0.999203    0.01085358]
 [-0.01483336  0.01143058  0.99982464]]",[0.25049886 0.02064265 0.00048966],24.884511674860143
35,../shapes/Bird/m48.obj,427,[0.25700833 0.23323621 0.59405963],[0.25700833 0.23323621 0.59405963],[1. 1. 1.],0.27948906711009247,1.141373438132323,[0.025    0.488025 0.025    0.456093 0.025    0.975   ],[0. 0. 0.],824,Bird,Triangle,"[[ 0.01654237 -0.98359243 -0.17964487]
 [-0.31964243  0.16503872 -0.93305463]
 [-0.94739383 -0.07285706  0.31166774]]",[0.07255271 0.00892443 0.00884604],11.840609671984407
36,../shapes/Bird/D00762.obj,950,[-0.2212756   0.13272609 -0.1092906 ],[-0.2212756   0.13272609 -0.1092906 ],[1. 1. 1.],0.4044313115697608,2.4801244354477454,[-1.0453    0.749594 -0.723664  0.858881 -0.387123  0.264739],[0. 0. 0.],1896,Bird,Triangle,"[[-0.07431567  0.99041142 -0.11645774]
 [ 0.22764026  0.13054544  0.96495482]
 [-0.9709053  -0.04520079  0.23515908]]",[0.02770784 0.08365604 0.09098707],72.24205190621457
37,../shapes/Bird/D00438.obj,1824,[-0.20280798  0.00554282 -0.02528409],[-0.20280798  0.00554282 -0.02528409],[1. 1. 1.],0.40992757413230624,2.1913371010565674,[-1.18694   0.786275 -0.545674  0.371307 -0.194944  0.064915],[0. 0. 0.],3709,Bird,Triangle,"[[ 0.99989955 -0.01393343 -0.00259926]
 [-0.0136196  -0.99528774  0.09600426]
 [ 0.00392468  0.09595922  0.99537753]]",[0.18864996 0.02683594 0.00394234],42.398923043516874
38,../shapes/Bird/D00271.obj,12813,[-0.24979787 -0.03357241 -0.04463066],[-0.24979787 -0.03357241 -0.04463066],[1. 1. 1.],0.47609283643285294,2.3507277415406915,[-1.17434   0.735516 -0.67701   0.633247 -0.192772  0.20922 ],[0. 0. 0.],24753,Bird,Triangle,"[[-0.99795938  0.0552467  -0.03201379]
 [ 0.05396276  0.99775461  0.0396707 ]
 [-0.03413358 -0.03786219  0.99869983]]",[0.09655686 0.15221999 0.01063064],553.2876811836671
39,../shapes/Bird/m45.obj,16542,[0.50115189 0.17301338 0.16976552],[0.50115189 0.17301338 0.16976552],[1. 1. 1.],0.15237030586566747,1.0889590535594071,[0.025    0.975    0.025    0.290348 0.025    0.486435],[0. 0. 0.],33072,Bird,Triangle,"[[-9.99998974e-01 -1.40618423e-03 -2.73444560e-04]
 [-9.77357651e-04  5.30160955e-01  8.47896460e-01]
 [ 1.04732900e-03 -8.47895857e-01  5.30161786e-01]]",[0.01117531 0.01413875 0.00340641],1223.2839741934679
40,../shapes/Bookset/D01110.obj,166,[0.15385077 0.17513053 0.12971324],[0.15385077 0.17513053 0.12971324],[1. 1. 1.],0.20146733648280865,0.5261186387878688,[0.       0.268736 0.       0.28956  0.       0.347472],[0. 0. 0.],936,Bookset,Triangle,"[[-0.98284514  0.18305709  0.02248412]
 [ 0.04688049  0.13005807  0.99039745]
 [-0.17837504 -0.97446139  0.13640875]]",[0.00622726 0.01892663 0.01697135],10.6876485177164
41,../shapes/Bookset/D01184.obj,247,[0.03075646 0.11800458 0.14215066],[0.03075646 0.11800458 0.14215066],[1. 1. 1.],0.1781342290420607,0.4431569773951438,[-0.        0.191003  0.        0.230709  0.        0.326618],[0. 0. 0.],1557,Bookset,Triangle,"[[-0.88156937 -0.47187308  0.01308587]
 [-0.47201927  0.88150346 -0.01222573]
 [ 0.00576625  0.01695461  0.99983963]]",[0.00390401 0.00454959 0.02415837],202.6099109516026
42,../shapes/Bookset/D01135.obj,1645,[4.80657466 2.79129693 2.52166576],[4.80657466 2.79129693 2.52166576],[1. 1. 1.],3.984153460900844,12.52564055762854,"[-3.2108300e-01  1.0181497e+01 -2.1540400e-01  4.3812660e+00
 -9.3470000e-03  5.0362560e+00]",[0. 0. 0.],10185,Bookset,Triangle,"[[-0.17582817 -0.98412026  0.02432614]
 [-0.98441857  0.17572058 -0.00650847]
 [-0.00213051  0.02509148  0.99968289]]",[1.54731643 9.14428865 6.2321356 ],765.3443910796726
43,../shapes/Bottle/D00959.obj,479,[-0.13019035 -0.05132098 -0.00329868],[-0.13019035 -0.05132098 -0.00329868],[1. 1. 1.],0.5508962716858955,1.5997218356308074,[-0.808843  0.69574  -0.275198  0.10899  -0.198302  0.186067],[0. 0. 0.],892,Bottle,Triangle,"[[ 0.99920402 -0.03139806  0.0246066 ]
 [-0.03974469 -0.83642258  0.54664214]
 [-0.00341802  0.54718501  0.83700471]]",[0.36646532 0.00699939 0.00699921],66.42028961817745
44,../shapes/Bottle/m482.obj,542,[0.15747132 0.71987585 0.16008398],[0.15747132 0.71987585 0.16008398],[1. 1. 1.],0.2832619462684905,1.0219358833204752,[0.025    0.289643 0.025    0.975    0.025    0.292987],[0. 0. 0.],950,Bottle,Triangle,"[[-9.87235853e-04 -9.63192928e-01 -2.68809244e-01]
 [-9.99848091e-01 -3.72700163e-03  1.70266001e-02]
 [ 1.74017533e-02 -2.68785218e-01  9.63042930e-01]]",[0.09653924 0.00446333 0.00460643],73.26235157510577
45,../shapes/Bottle/D00892.obj,2474,[0.09611912 0.048574   0.00052678],[0.09611912 0.048574   0.00052678],[1. 1. 1.],0.5954689388972711,1.798495018269442,[-0.674448  1.01623  -0.151915  0.287525 -0.214476  0.213408],[0. 0. 0.],4940,Bottle,Triangle,"[[ 0.99922614  0.03682511 -0.01382149]
 [-0.03929802  0.91974371 -0.39054728]
 [ 0.00166972 -0.3907882  -0.92047911]]",[0.37419562 0.01249639 0.01251947],31.041549678814892
46,../shapes/Bottle/D00123.obj,1067,[-0.13508106 -0.04773411 -0.00466116],[-0.13508106 -0.04773411 -0.00466116],[1. 1. 1.],0.572561609597836,1.656962756952612,[-0.785998  0.781472 -0.272641  0.122641 -0.188644  0.175108],[0. 0. 0.],2044,Bottle,Triangle,"[[ 0.99882497 -0.04643218 -0.01388247]
 [-0.04837648 -0.93814112 -0.34285705]
 [-0.00289588 -0.34312577  0.93928501]]",[0.38479325 0.00716561 0.00715668],55.313490816765
47,../shapes/Bottle/D00176.obj,7138,[ 0.22599145  0.03200161 -0.00211313],[ 0.22599145  0.03200161 -0.00211313],[1. 1. 1.],0.5892034119502972,1.8696512904186169,[-0.718902  0.987358 -0.22924   0.32021  -0.268809  0.262583],[0. 0. 0.],14272,Bottle,Triangle,"[[-0.99944706  0.02436369  0.02262702]
 [ 0.03253088  0.57571521  0.8170029 ]
 [-0.00687848 -0.81728722  0.57618945]]",[0.3541557  0.01930481 0.019137  ],335.2005595865646
48,../shapes/Bottle/D00166.obj,23142,[-0.05179074  0.04629546 -0.00453574],[-0.05179074  0.04629546 -0.00453574],[1. 1. 1.],0.575420052661992,2.003611065331293,[-0.815243  0.919484 -0.387408  0.446434 -0.272684  0.283991],[0. 0. 0.],45936,Bottle,Triangle,"[[ 0.99895829 -0.04361967  0.0134037 ]
 [-0.04296686 -0.99803335 -0.04564308]
 [-0.01536828 -0.04501962  0.99886788]]",[0.32485102 0.03827308 0.02331162],24.242680634762934
49,../shapes/BuildingNonResidential/m479.obj,648,[0.49999999 0.16632745 0.2722304 ],[0.49999999 0.16632745 0.2722304 ],[1. 1. 1.],0.2766426694242921,1.105306884998008,[0.025    0.975    0.025    0.298318 0.025    0.51947 ],[0. 0. 0.],1056,BuildingNonResidential,Triangle,"[[-9.99999969e-01  2.50794975e-04 -5.41693320e-09]
 [ 7.74336503e-09  9.27622888e-06 -1.00000000e+00]
 [ 2.50794975e-04  9.99999969e-01  9.27623053e-06]]",[0.06728086 0.01298315 0.00548474],33.59591414637606
50,../shapes/BuildingNonResidential/m475.obj,112,[0.5725868  0.15612943 0.57254891],[0.5725868  0.15612943 0.57254891],[1. 1. 1.],0.21412861371748632,1.4358660971305786,[0.025    0.975    0.025    0.531667 0.025    0.975   ],[0. 0. 0.],178,BuildingNonResidential,Triangle,"[[ 0.48162289  0.70857676  0.51571151]
 [ 0.7317184  -0.00127062 -0.68160588]
 [ 0.48231481 -0.7056326   0.51909061]]",[0.01025957 0.03179455 0.02212738],15.645789758849823
51,../shapes/BuildingNonResidential/m414.obj,1056,[0.5        0.39275652 0.5       ],[0.5        0.39275652 0.5       ],[1. 1. 1.],0.5277538770078772,1.5145123971182937,[0.025    0.975    0.025    0.724105 0.025    0.975   ],[0. 0. 0.],1944,BuildingNonResidential,Triangle,"[[ 1.00000000e+00 -1.40707583e-08  3.52391197e-17]
 [ 0.00000000e+00 -4.32415734e-16 -1.00000000e+00]
 [ 0.00000000e+00 -1.00000000e+00 -1.48479068e-16]]",[0.10218866 0.10218866 0.0782983 ],27.137219775223496
52,../shapes/BuildingNonResidential/m408.obj,1252,[0.33501993 0.30568485 0.51355095],[0.33501993 0.30568485 0.51355095],[1. 1. 1.],0.3201209985594279,1.2685492026598733,[0.025    0.644812 0.025    0.592935 0.025    0.975   ],[0. 0. 0.],2372,BuildingNonResidential,Triangle,"[[-9.99999999e-01 -4.84447917e-05 -1.08367361e-05]
 [-4.50110602e-05  9.76911436e-01 -2.13644666e-01]
 [-2.09365028e-05  2.13644665e-01  9.76911437e-01]]",[0.03212982 0.005982   0.08115854],79.12884834281249
53,../shapes/BuildingNonResidential/m420.obj,7226,[0.34483496 0.16867019 0.59326938],[0.34483496 0.16867019 0.59326938],[1. 1. 1.],0.3795375827783586,1.2061845285316006,[0.025    0.66475  0.025    0.403287 0.025    0.975   ],[0. 0. 0.],12960,BuildingNonResidential,Triangle,"[[-6.19323454e-05 -9.99998743e-01  1.58439687e-03]
 [-9.99994651e-01  5.67506228e-05 -3.27030602e-03]
 [-3.27021199e-03  1.58459093e-03  9.99993397e-01]]",[0.00840604 0.07136423 0.07368845],822.2245426683489
