,Unnamed: 0,Path,Vertices,CenterOfMass,Means,Scaling,AverageSize,DiagonalSize,Bounds,Position,Cells,Class,Type,Eigenvalue,Eigenvectors
16,16,../shapes\Apartment\D00045.obj,14865,[ 0.06485796  0.03296589 -0.05506245],[ 0.06485803  0.03296591 -0.05506248],[1. 1. 1.],0.44798002,2.24282517165743,[-0.613186  0.829027 -0.700915  0.770415 -0.532017  0.354253],[0. 0. 0.],21021,Apartment,Triangle,[0.10693727 0.03665936 0.06283398],"[[ 0.9780651   0.17381015  0.11479853]
 [ 0.09703149  0.10750378 -0.98945835]
 [ 0.18431918 -0.97889375 -0.08828064]]"
17,17,../shapes\Apartment\D00086.obj,20493,[ 0.0117032  -0.07538239 -0.04032096],[ 0.01170322 -0.07538249 -0.04032103],[1. 1. 1.],0.42838374,2.5434699710574,[-0.920883  0.863162 -0.343487  1.32482  -0.415469  0.293879],[0. 0. 0.],42064,Apartment,Triangle,[0.17361445 0.04179797 0.01156898],"[[ 0.99634248  0.08495874  0.00914742]
 [ 0.08435384 -0.99500204  0.05343571]
 [-0.01364153  0.05246865  0.99852939]]"
18,18,../shapes\Apartment\D00138.obj,10827,[-0.07477229 -0.16899284  0.06729904],[-0.07477233 -0.16899247  0.06729925],[1. 1. 1.],0.18904723,2.003668908791437,[-0.782682  0.776339 -0.514535  0.633157 -0.317783  0.198885],[0. 0. 0.],21140,Apartment,Triangle,[0.04053749 0.00691138 0.01949903],"[[-9.99477518e-01 -3.23201586e-02  3.12140538e-04]
 [-4.84729086e-04  2.46447281e-02  9.99696155e-01]
 [ 3.23180309e-02 -9.99173681e-01  2.46475182e-02]]"
19,19,../shapes\Apartment\D00156.obj,12732,[-0.03008283  0.19995087 -0.04225052],[-0.03008277  0.19995105 -0.04225054],[1. 1. 1.],0.6577403,2.631835668113528,[-0.81948   0.881168 -0.742071  0.842832 -0.667138  0.566733],[0. 0. 0.],19380,Apartment,Triangle,[0.23687052 0.19412456 0.02931208],"[[ 0.96834428  0.24787906  0.02941638]
 [ 0.24955814 -0.96395407 -0.09226745]
 [-0.00548487 -0.09668775  0.99529965]]"
20,20,../shapes\Apartment\D00310.obj,14464,[ 0.07108421 -0.00575935 -0.01667491],[ 0.07108408 -0.00575939 -0.01667494],[1. 1. 1.],0.5773757,2.107706777255948,[-0.744656  1.03298  -0.389316  0.494357 -0.368775  0.339434],[0. 0. 0.],9480,Apartment,Triangle,[0.27760058 0.07429363 0.02494206],"[[ 0.99840528 -0.051258   -0.02365413]
 [-0.05083436 -0.99854167  0.01817693]
 [ 0.02455135  0.0169455   0.99955494]]"
21,21,../shapes\Apartment\D00348.obj,2006,[-0.12338756  0.07705423  0.00452147],[-0.12338758  0.07705414  0.00452145],[1. 1. 1.],0.48177892,2.1837119271389573,[-0.94171   0.725458 -0.40949   0.566411 -0.813025  0.205192],[0. 0. 0.],3008,Apartment,Triangle,[0.19116995 0.08250579 0.0048928 ],"[[ 0.99625917  0.0792821   0.03438053]
 [ 0.07734198 -0.99551387  0.05450098]
 [-0.03854724  0.05163804  0.99792165]]"
22,22,../shapes\Apartment\D00366.obj,1294,[-0.02215598 -0.07962717  0.02382457],[-0.02215597 -0.07962724  0.02382454],[1. 1. 1.],0.6026213,2.4926392104207347,[-0.895467  0.745644 -0.856715  0.59104  -0.663917  0.529402],[0. 0. 0.],2540,Apartment,Triangle,[0.20970553 0.1047377  0.08072606],"[[ 0.99661581  0.07339569  0.03701341]
 [ 0.08181126 -0.92941841 -0.35984487]
 [-0.00798988 -0.3616552   0.93227768]]"
23,23,../shapes\Apartment\D00478.obj,19857,[ 0.04612862 -0.06442518 -0.02016148],[ 0.0461284  -0.06442524 -0.02016131],[1. 1. 1.],0.58261037,2.254151398784478,[-0.780623  0.910492 -0.760414  0.404719 -0.478043  0.451362],[0. 0. 0.],25206,Apartment,Triangle,[0.22955209 0.08497148 0.04703554],"[[ 0.99813753  0.05380708  0.02874478]
 [ 0.05804459 -0.98265489 -0.17612551]
 [-0.0187694  -0.17746596  0.98394794]]"
24,24,../shapes\Apartment\D00496.obj,7737,[-0.00174584 -0.00655535 -0.03233715],[-0.00174572 -0.0065554  -0.03233716],[1. 1. 1.],0.51895636,2.4689015645256207,[-0.643419  1.15353  -0.704659  0.878216 -0.341188  0.259608],[0. 0. 0.],2579,Apartment,Triangle,[0.04797047 0.11902877 0.12583616],"[[ 5.27407637e-02  9.10681859e-01 -4.09727913e-01]
 [ 2.31046545e-02  4.09076305e-01  9.12207625e-01]
 [-9.98340917e-01  5.75771487e-02 -5.34007004e-04]]"
25,25,../shapes\Apartment\D00626.obj,73184,[-0.0440093  -0.0454781   0.05155436],[-0.04400857 -0.04547675  0.05155439],[1. 1. 1.],0.55452734,2.2084970206949013,[-0.885934  0.906987 -0.597769  0.33114  -0.512373  0.382066],[0. 0. 0.],64688,Apartment,Triangle,[0.25056353 0.06264458 0.0446895 ],"[[ 9.99660294e-01 -2.60456589e-02  9.59735332e-04]
 [-2.55284030e-02 -9.85901061e-01 -1.65370488e-01]
 [-5.25338741e-03 -1.65289810e-01  9.86231048e-01]]"
26,26,../shapes\Apartment\D00639.obj,4849,[ 0.1916355  -0.02615515 -0.12254833],[ 0.19163585 -0.0261552  -0.12254826],[1. 1. 1.],0.554428,2.2844846659615103,[-0.542818  1.14108  -0.544259  0.500059 -0.687879  0.449116],[0. 0. 0.],7980,Apartment,Triangle,[0.19643149 0.05736936 0.08108464],"[[ 0.98329075  0.18155036  0.01337046]
 [ 0.03728557 -0.12896214 -0.99094831]
 [ 0.17818274 -0.97488883  0.13357649]]"
27,27,../shapes\Apartment\D00651.obj,12732,[-0.13320101 -0.1558779   0.04866621],[-0.13320106 -0.15587765  0.04866611],[1. 1. 1.],0.6577404,2.899328511851318,[-0.948858  0.916559 -0.950931  0.904251 -0.556634  0.661818],[0. 0. 0.],19380,Apartment,Triangle,[0.23687052 0.19412456 0.02931208],"[[ 0.76177253 -0.64632238 -0.04438462]
 [-0.64780794 -0.75921088 -0.06279896]
 [-0.00689109 -0.07659123  0.99703876]]"
28,28,../shapes\Apartment\D00681.obj,13823,[ 0.20742676 -0.10520445 -0.05033533],[ 0.20742688 -0.10520449 -0.05033531],[1. 1. 1.],0.637999,2.515090001338844,[-0.681671  1.09453  -0.790363  0.587597 -0.471744  0.656092],[0. 0. 0.],15557,Apartment,Triangle,[0.30921978 0.09658267 0.03762017],"[[ 0.97781977  0.19663208 -0.07214092]
 [ 0.20352876 -0.97335087  0.1056604 ]
 [ 0.0494422   0.11799958  0.99178202]]"
29,29,../shapes\Apartment\D00780.obj,8240,[-0.17918899 -0.02484568  0.04221636],[-0.17918923 -0.02484577  0.04221642],[1. 1. 1.],0.67680573,2.129779844585334,[-0.977731  0.789199 -0.618236  0.449639 -0.189083  0.33395 ],[0. 0. 0.],13684,Apartment,Triangle,[0.36809068 0.12315976 0.0157519 ],"[[ 0.98319677 -0.17897371 -0.03595159]
 [-0.18003594 -0.98323687 -0.02884983]
 [ 0.03018556 -0.03483763  0.99893702]]"
30,30,../shapes\Apartment\D00792.obj,1327,[ 0.3876649   0.20067655 -0.06582132],[ 0.38766468  0.20067622 -0.06582134],[1. 1. 1.],0.5146255,3.108331509101245,[-0.795163  1.10354  -0.965409  0.963376 -0.669296  0.859246],[0. 0. 0.],1158,Apartment,Triangle,[0.17266151 0.09694567 0.04606576],"[[-0.46062879  0.80958936 -0.36384912]
 [ 0.88372963  0.38011416 -0.2730113 ]
 [ 0.08272284  0.44730111  0.89054963]]"
31,31,../shapes\Apartment\D00859.obj,1378,[ 0.1700617  -0.11609521  0.02780441],[ 0.17006175 -0.1160955   0.0278044 ],[1. 1. 1.],0.57007825,2.3656642913543737,[-0.824176  1.07379  -0.692473  0.611025 -0.33128   0.211846],[0. 0. 0.],2163,Apartment,Triangle,[0.25744909 0.0989198  0.01868207],"[[ 0.9947761   0.10152261 -0.0106614 ]
 [ 0.100254   -0.99130078 -0.08527538]
 [ 0.01922603 -0.08376106  0.99630038]]"
32,32,../shapes\Apartment\D00860.obj,19857,[ 0.06179465 -0.06686338 -0.01681445],[ 0.06179456 -0.06686355 -0.01681422],[1. 1. 1.],0.58261037,2.250677309054385,[-0.764923  0.927037 -0.760034  0.399913 -0.474753  0.451175],[0. 0. 0.],25206,Apartment,Triangle,[0.22955209 0.08497148 0.04703554],"[[ 0.9980322   0.05509266  0.02994196]
 [ 0.0592148  -0.98516366 -0.16107818]
 [-0.02062351 -0.16253422  0.98648735]]"
33,33,../shapes\Apartment\D00869.obj,4930,[-0.15508069  0.08652805  0.13220488],[-0.15508054  0.08652805  0.13220489],[1. 1. 1.],0.66172063,2.242601236091008,[-0.984513  0.688383 -0.521765  0.644962 -0.380646  0.551785],[0. 0. 0.],9069,Apartment,Triangle,[0.26627842 0.12188595 0.07982689],"[[ 0.99061291  0.13211515 -0.03509488]
 [ 0.13542341 -0.9834532   0.12033415]
 [ 0.0186162   0.12395723  0.99211292]]"
34,34,../shapes\Apartment\D00921.obj,12842,[ 0.2413255  -0.12752701 -0.09216274],[ 0.2413243  -0.12752749 -0.09216282],[1. 1. 1.],0.40712336,2.259901542921943,[-0.850705  0.822601 -0.487423  0.545748 -0.558467  0.554978],[0. 0. 0.],7983,Apartment,Triangle,[0.08220139 0.05114192 0.06151274],"[[ 0.94408494  0.31905307 -0.08311902]
 [ 0.21163009 -0.77973161 -0.58926337]
 [ 0.25281681 -0.53872418  0.8036541 ]]"
35,35,../shapes\Apartment\D00953.obj,4158,[-0.19526575  0.01745154 -0.02631714],[-0.19526571  0.01745165 -0.02631717],[1. 1. 1.],0.4534348,2.5501978450511404,[-0.949201  0.665321 -0.826799  0.896079 -0.444887  0.51871 ],[0. 0. 0.],7140,Apartment,Triangle,[0.03380305 0.105283   0.08755189],"[[-0.24319934  0.9465329  -0.21196593]
 [-0.07441019  0.19967721  0.97703231]
 [-0.96711799 -0.25338604 -0.02187032]]"
36,36,../shapes\Apartment\m463.obj,2022,[0.40503426 0.42523922 0.29990563],[0.40503395 0.4252393  0.299908  ],[1. 1. 1.],0.3223388,1.335060226859132,[0.025    0.785029 0.025    0.975    0.025    0.574765],[0. 0. 0.],3672,Apartment,Triangle,[0.01981087 0.08203654 0.01749234],"[[ 1.00000000e+00  1.37669631e-05  1.21324050e-07]
 [ 1.37669477e-05 -9.99999992e-01  1.25896799e-04]
 [-1.23057266e-07  1.25896797e-04  9.99999992e-01]]"
37,37,../shapes\Apartment\m464.obj,8301,[0.18442683 0.53221431 0.16114051],[0.1844252  0.53221446 0.16114189],[1. 1. 1.],0.2546842,1.0392689005113842,[0.025    0.347449 0.025    0.975    0.025    0.296305],[0. 0. 0.],12810,Apartment,Triangle,[0.07040255 0.00423079 0.00360357],"[[ 6.31857176e-04 -9.99980760e-01  6.17086607e-03]
 [-9.99999643e-01 -6.35302410e-04 -5.56362043e-04]
 [-5.60271705e-04  6.17051233e-03  9.99980805e-01]]"
38,38,../shapes\Apartment\m465.obj,2335,[0.15119548 0.62563062 0.1099707 ],[0.15119568 0.62562406 0.1099706 ],[1. 1. 1.],0.2912669,0.9953313177300608,[0.025    0.21702  0.025    0.975    0.025    0.251523],[0. 0. 0.],4363,Apartment,Triangle,[0.0961435  0.00234548 0.00379571],"[[-0.04645824  0.73662715 -0.67470147]
 [ 0.99748707 -0.00195752 -0.07082163]
 [ 0.05348988  0.67629625  0.73468511]]"
39,39,../shapes\AquaticAnimal\m53.obj,18409,[0.10102272 0.16914467 0.66439275],[0.10102272 0.1691444  0.6643906 ],[1. 1. 1.],0.21570686,1.0131474709780592,[0.025    0.163371 0.025    0.348761 0.025    0.975   ],[0. 0. 0.],34877,AquaticAnimal,Triangle,[0.0499066  0.00080309 0.00467619],"[[ 0.08217031  0.99657829 -0.00893045]
 [ 0.04400344  0.00532412  0.99901719]
 [-0.99564639  0.08248252  0.04341538]]"
40,40,../shapes\AquaticAnimal\m54.obj,18143,[0.14644469 0.173088   0.64504325],[0.14644477 0.17308845 0.64504415],[1. 1. 1.],0.24775217,1.036903378971387,[0.025    0.254899 0.025    0.371143 0.025    0.975   ],[0. 0. 0.],33836,AquaticAnimal,Triangle,[0.06749693 0.00157093 0.0044008 ],"[[ 0.15804306  0.97981667  0.12239968]
 [-0.01619696 -0.12136847  0.99247537]
 [-0.98729937  0.15883635  0.00331139]]"
41,41,../shapes\AquaticAnimal\m55.obj,19505,[0.09274598 0.17740759 0.68372766],[0.09274594 0.17740712 0.68372744],[1. 1. 1.],0.22373748,1.026218370569297,[0.025    0.18151  0.025    0.380146 0.025    0.975   ],[0. 0. 0.],37072,AquaticAnimal,Triangle,[0.05669037 0.00118698 0.00413497],"[[ 0.0615859   0.99809744 -0.00294422]
 [ 0.01668159 -0.00397871 -0.99985294]
 [ 0.99796237 -0.06152773  0.01689488]]"
42,42,../shapes\AquaticAnimal\m56.obj,5814,[0.09715948 0.17070122 0.7132265 ],[0.09715948 0.17070135 0.7132264 ],[1. 1. 1.],0.21155004,1.02004744157573,[0.025    0.168956 0.025    0.367452 0.025    0.975   ],[0. 0. 0.],10893,AquaticAnimal,Triangle,[0.00092353 0.00337462 0.05384921],"[[-9.99963163e-01 -8.58243684e-03  1.19653743e-04]
 [-8.57948875e-03  9.99839207e-01  1.57465206e-02]
 [ 2.54778023e-04 -1.57449140e-02  9.99876009e-01]]"
43,43,../shapes\AquaticAnimal\m57.obj,18878,[0.08475104 0.18853803 0.66922081],[0.08475105 0.1885381  0.6692231 ],[1. 1. 1.],0.21900342,1.024436912751166,[0.025    0.143963 0.025    0.389443 0.025    0.975   ],[0. 0. 0.],36278,AquaticAnimal,Triangle,[0.00068347 0.05013035 0.00591201],"[[-9.99998930e-01 -1.84669253e-04  1.45138428e-03]
 [-1.43903064e-03 -5.49999464e-02 -9.98485320e-01]
 [-2.64215596e-04  9.98486340e-01 -5.49996218e-02]]"
44,44,../shapes\AquaticAnimal\m58.obj,477,[0.27601371 0.23163506 0.49227723],[0.27601388 0.23163493 0.49227738],[1. 1. 1.],0.29415813,1.1792030266579834,[0.025    0.537049 0.025    0.500211 0.025    0.975   ],[0. 0. 0.],950,AquaticAnimal,Triangle,[0.06708743 0.01341134 0.0145742 ],"[[ 0.06647565 -0.99757241 -0.02074302]
 [-0.05791818  0.0168961  -0.99817834]
 [-0.99610565 -0.06755595  0.0566544 ]]"
45,45,../shapes\AquaticAnimal\m59.obj,44,[0.125      0.125      0.51227273],[0.125      0.125      0.51227283],[1. 1. 1.],0.24885839,0.9912114209704808,[0.025 0.225 0.025 0.225 0.025 0.975],[0. 0. 0.],1680,AquaticAnimal,Triangle,[0.00145433 0.07700169 0.00172103],"[[ 1.00000000e+00  9.38264196e-12 -9.33576574e-15]
 [ 9.33577971e-15 -1.48926850e-09  1.00000000e+00]
 [-9.38264196e-12  1.00000000e+00  1.48926871e-09]]"
46,46,../shapes\AquaticAnimal\m60.obj,1606,[0.18684836 0.19895892 0.64861961],[0.18684822 0.19895865 0.64861953],[1. 1. 1.],0.23115683,1.0741066493307236,[0.025    0.348674 0.025    0.407675 0.025    0.975   ],[0. 0. 0.],3208,AquaticAnimal,Triangle,[0.001928   0.05928439 0.0053274 ],"[[ 9.99999908e-01  6.36675806e-05 -4.24800188e-04]
 [ 4.21763716e-04  4.18477828e-02  9.99123909e-01]
 [-8.13887479e-05  9.99123996e-01 -4.18477521e-02]]"
47,47,../shapes\AquaticAnimal\m61.obj,216,[0.10852948 0.2092876  0.6003623 ],[0.10852952 0.20928761 0.60036194],[1. 1. 1.],0.24890345,1.0506849200749244,[0.025    0.18743  0.025    0.443396 0.025    0.975   ],[0. 0. 0.],337,AquaticAnimal,Triangle,[0.06673058 0.00203048 0.00494128],"[[ 0.02119021 -0.99851641  0.05015934]
 [-0.00270949 -0.05022778 -0.99873411]
 [-0.99977179 -0.02102747  0.00376981]]"
48,48,../shapes\AquaticAnimal\m62.obj,241,[0.07812209 0.38389136 0.55283675],[0.0781221 0.3838913 0.5528368],[1. 1. 1.],0.29668564,1.1992616384628465,[0.025    0.131276 0.025    0.749178 0.025    0.975   ],[0. 0. 0.],478,AquaticAnimal,Triangle,[0.00042477 0.06533673 0.03227281],"[[-9.99997433e-01 -1.22660816e-03 -1.90498367e-03]
 [-2.10413617e-03  1.90929809e-01  9.81601437e-01]
 [ 8.40322170e-04 -9.81602926e-01  1.90931899e-01]]"
49,49,../shapes\AquaticAnimal\m63.obj,1112,[0.28012325 0.31798494 0.40386306],[0.28012273 0.31798536 0.40386322],[1. 1. 1.],0.24972048,1.3991854087629076,[0.025    0.975    0.025    0.724541 0.025    0.777238],[0. 0. 0.],1792,AquaticAnimal,Triangle,[0.04384779 0.01902393 0.01444088],"[[ 0.94940246  0.31405972  0.0012082 ]
 [ 0.31397363 -0.94921943  0.02007577]
 [-0.00745184  0.01868065  0.99979773]]"
50,50,../shapes\AquaticAnimal\m64.obj,247,[0.49424081 0.26315442 0.10153025],[0.49424085 0.2631544  0.1015302 ],[1. 1. 1.],0.23697416,1.0939267759987528,[0.025    0.975    0.025    0.545087 0.025    0.1789  ],[0. 0. 0.],444,AquaticAnimal,Triangle,[0.06007655 0.00757851 0.00121391],"[[ 9.99723727e-01  2.35021484e-02 -3.43383363e-04]
 [ 2.35035102e-02 -9.99712574e-01  4.72810126e-03]
 [ 2.32164128e-04  4.73486573e-03  9.99988764e-01]]"
51,51,../shapes\AquaticAnimal\m65.obj,1004,[0.21253133 0.31948322 0.76287878],[0.21253136 0.31948337 0.7628787 ],[1. 1. 1.],0.17935593,1.174273189191106,[0.025    0.399816 0.025    0.604595 0.025    0.975   ],[0. 0. 0.],1930,AquaticAnimal,Triangle,[0.00212332 0.03030042 0.00766154],"[[-9.99998617e-01 -6.98283511e-04 -1.50970073e-03]
 [-1.38168493e-03 -1.56641092e-01  9.87654625e-01]
 [ 9.26144111e-04 -9.87655345e-01 -1.56639911e-01]]"
52,52,../shapes\AquaticAnimal\m66.obj,4117,[0.24203397 0.30311843 0.5967383 ],[0.24203368 0.3031183  0.5967377 ],[1. 1. 1.],0.28739694,1.1629937426420656,[0.025    0.445705 0.025    0.547553 0.025    0.975   ],[0. 0. 0.],8196,AquaticAnimal,Triangle,[0.07709994 0.0065652  0.00514867],"[[ 0.03901673  0.99381542 -0.10396448]
 [ 0.21249645  0.09341167  0.97268675]
 [-0.97638259  0.06004314  0.20753763]]"
53,53,../shapes\AquaticAnimal\m67.obj,14000,[0.56885554 0.13235448 0.18700061],[0.56885374 0.13235492 0.18700044],[1. 1. 1.],0.2776219,1.0418624798299814,[0.025    0.975    0.025    0.2497   0.025    0.388988],[0. 0. 0.],27996,AquaticAnimal,Triangle,[0.07938266 0.00822952 0.00092245],"[[ 0.99996732  0.00761113 -0.00272676]
 [ 0.0027759  -0.00645299  0.99997533]
 [-0.00759335  0.99995021  0.00647391]]"
54,54,../shapes\AquaticAnimal\m68.obj,553,[0.52110382 0.13168083 0.10688983],[0.52110416 0.13168083 0.10688981],[1. 1. 1.],0.19688174,0.9965718611260926,[0.025    0.975    0.025    0.278519 0.025    0.18743 ],[0. 0. 0.],1098,AquaticAnimal,Triangle,[0.04762117 0.00347412 0.00129308],"[[ 0.9997534  -0.02195358  0.00334242]
 [-0.02192962 -0.99973471 -0.00704315]
 [-0.00349616 -0.00696812  0.99996961]]"
