,Path,Vertices,CenterOfMass,Means,Scaling,AverageSize,DiagonalSize,Bounds,Position,Cells,Class,Type
10,../shapes\AircraftBuoyant\m1347.obj,3055,[0.16829789 0.14597533 0.53549427],[0.168298   0.14597483 0.5354932 ],[1. 1. 1.],0.23679827,1.0681055374722819,[0.025    0.312086 0.025    0.419881 0.025    0.975   ],[0. 0. 0.],6274,AircraftBuoyant,Triangle
11,../shapes\AircraftBuoyant\m1348.obj,795,[0.16873636 0.17566178 0.46068733],[0.16873623 0.17566162 0.460686  ],[1. 1. 1.],0.27836737,1.0485223419531131,[0.025    0.321693 0.025    0.354958 0.025    0.975   ],[0. 0. 0.],1382,AircraftBuoyant,Triangle
12,../shapes\AircraftBuoyant\m1349.obj,432,[0.48583104 0.13479902 0.14961127],[0.4858333  0.13479899 0.1496112 ],[1. 1. 1.],0.22064294,1.0459790209033157,[0.025    0.975    0.025    0.385203 0.025    0.273648],[0. 0. 0.],640,AircraftBuoyant,Triangle
13,../shapes\AircraftBuoyant\m1350.obj,1097,[0.38388216 0.15815833 0.07356281],[0.38388136 0.15815854 0.07356288],[1. 1. 1.],0.15819034,1.0255911185049993,[0.025    0.975    0.025    0.291317 0.025    0.305022],[0. 0. 0.],1976,AircraftBuoyant,Triangle
14,../shapes\AircraftBuoyant\m1351.obj,12987,[0.11664972 0.08584329 0.32030777],[0.1166516  0.08584314 0.32030678],[1. 1. 1.],0.17848662,0.986827907504765,[0.025    0.2083   0.025    0.219243 0.025    0.975   ],[0. 0. 0.],24466,AircraftBuoyant,Triangle
15,../shapes\AircraftBuoyant\m1352.obj,3298,[0.46863493 0.18617714 0.17864334],[0.46863344 0.18617718 0.17864327],[1. 1. 1.],0.27261302,1.0586703243479876,[0.025    0.975    0.025    0.376642 0.025    0.332621],[0. 0. 0.],6348,AircraftBuoyant,Triangle
16,../shapes\Apartment\D00045.obj,14865,[ 0.06485796  0.03296589 -0.05506245],[ 0.06485803  0.03296591 -0.05506248],[1. 1. 1.],0.44798002,2.24282517165743,[-0.613186  0.829027 -0.700915  0.770415 -0.532017  0.354253],[0. 0. 0.],21021,Apartment,Triangle
17,../shapes\Apartment\D00086.obj,20493,[ 0.0117032  -0.07538239 -0.04032096],[ 0.01170322 -0.07538249 -0.04032103],[1. 1. 1.],0.42838374,2.5434699710573994,[-0.920883  0.863162 -0.343487  1.32482  -0.415469  0.293879],[0. 0. 0.],42064,Apartment,Triangle
18,../shapes\Apartment\D00138.obj,10827,[-0.07477229 -0.16899284  0.06729904],[-0.07477233 -0.16899247  0.06729925],[1. 1. 1.],0.18904723,2.0036689087914366,[-0.782682  0.776339 -0.514535  0.633157 -0.317783  0.198885],[0. 0. 0.],21140,Apartment,Triangle
19,../shapes\Apartment\D00156.obj,12732,[-0.03008283  0.19995087 -0.04225052],[-0.03008277  0.19995105 -0.04225054],[1. 1. 1.],0.6577403,2.6318356681135278,[-0.81948   0.881168 -0.742071  0.842832 -0.667138  0.566733],[0. 0. 0.],19380,Apartment,Triangle
20,../shapes\Apartment\D00310.obj,14464,[ 0.07108421 -0.00575935 -0.01667491],[ 0.07108408 -0.00575939 -0.01667494],[1. 1. 1.],0.5773757,2.107706777255948,[-0.744656  1.03298  -0.389316  0.494357 -0.368775  0.339434],[0. 0. 0.],9480,Apartment,Triangle
21,../shapes\Apartment\D00348.obj,2006,[-0.12338756  0.07705423  0.00452147],[-0.12338758  0.07705414  0.00452145],[1. 1. 1.],0.48177892,2.1837119271389573,[-0.94171   0.725458 -0.40949   0.566411 -0.813025  0.205192],[0. 0. 0.],3008,Apartment,Triangle
22,../shapes\Apartment\D00366.obj,1294,[-0.02215598 -0.07962717  0.02382457],[-0.02215597 -0.07962724  0.02382454],[1. 1. 1.],0.6026213,2.4926392104207347,[-0.895467  0.745644 -0.856715  0.59104  -0.663917  0.529402],[0. 0. 0.],2540,Apartment,Triangle
23,../shapes\Apartment\D00478.obj,19857,[ 0.04612862 -0.06442518 -0.02016148],[ 0.0461284  -0.06442524 -0.02016131],[1. 1. 1.],0.58261037,2.254151398784478,[-0.780623  0.910492 -0.760414  0.404719 -0.478043  0.451362],[0. 0. 0.],25206,Apartment,Triangle
24,../shapes\Apartment\D00496.obj,7737,[-0.00174584 -0.00655535 -0.03233715],[-0.00174572 -0.0065554  -0.03233716],[1. 1. 1.],0.51895636,2.4689015645256207,[-0.643419  1.15353  -0.704659  0.878216 -0.341188  0.259608],[0. 0. 0.],2579,Apartment,Triangle
25,../shapes\Apartment\D00626.obj,73184,[-0.0440093  -0.0454781   0.05155436],[-0.04400857 -0.04547675  0.05155439],[1. 1. 1.],0.55452734,2.2084970206949013,[-0.885934  0.906987 -0.597769  0.33114  -0.512373  0.382066],[0. 0. 0.],64688,Apartment,Triangle
26,../shapes\Apartment\D00639.obj,4849,[ 0.1916355  -0.02615515 -0.12254833],[ 0.19163585 -0.0261552  -0.12254826],[1. 1. 1.],0.554428,2.2844846659615103,[-0.542818  1.14108  -0.544259  0.500059 -0.687879  0.449116],[0. 0. 0.],7980,Apartment,Triangle
27,../shapes\Apartment\D00651.obj,12732,[-0.13320101 -0.1558779   0.04866621],[-0.13320106 -0.15587765  0.04866611],[1. 1. 1.],0.6577404,2.899328511851318,[-0.948858  0.916559 -0.950931  0.904251 -0.556634  0.661818],[0. 0. 0.],19380,Apartment,Triangle
28,../shapes\Apartment\D00681.obj,13823,[ 0.20742676 -0.10520445 -0.05033533],[ 0.20742688 -0.10520449 -0.05033531],[1. 1. 1.],0.637999,2.515090001338844,[-0.681671  1.09453  -0.790363  0.587597 -0.471744  0.656092],[0. 0. 0.],15557,Apartment,Triangle
29,../shapes\Apartment\D00780.obj,8240,[-0.17918899 -0.02484568  0.04221636],[-0.17918923 -0.02484577  0.04221642],[1. 1. 1.],0.67680573,2.1297798445853346,[-0.977731  0.789199 -0.618236  0.449639 -0.189083  0.33395 ],[0. 0. 0.],13684,Apartment,Triangle
30,../shapes\Apartment\D00792.obj,1327,[ 0.3876649   0.20067655 -0.06582132],[ 0.38766468  0.20067622 -0.06582134],[1. 1. 1.],0.5146255,3.108331509101245,[-0.795163  1.10354  -0.965409  0.963376 -0.669296  0.859246],[0. 0. 0.],1158,Apartment,Triangle
31,../shapes\Apartment\D00859.obj,1378,[ 0.1700617  -0.11609521  0.02780441],[ 0.17006175 -0.1160955   0.0278044 ],[1. 1. 1.],0.57007825,2.3656642913543737,[-0.824176  1.07379  -0.692473  0.611025 -0.33128   0.211846],[0. 0. 0.],2163,Apartment,Triangle
32,../shapes\Apartment\D00860.obj,19857,[ 0.06179465 -0.06686338 -0.01681445],[ 0.06179456 -0.06686355 -0.01681422],[1. 1. 1.],0.58261037,2.2506773090543852,[-0.764923  0.927037 -0.760034  0.399913 -0.474753  0.451175],[0. 0. 0.],25206,Apartment,Triangle
33,../shapes\Apartment\D00869.obj,4930,[-0.15508069  0.08652805  0.13220488],[-0.15508054  0.08652805  0.13220489],[1. 1. 1.],0.66172063,2.242601236091008,[-0.984513  0.688383 -0.521765  0.644962 -0.380646  0.551785],[0. 0. 0.],9069,Apartment,Triangle
34,../shapes\Apartment\D00921.obj,12842,[ 0.2413255  -0.12752701 -0.09216274],[ 0.2413243  -0.12752749 -0.09216282],[1. 1. 1.],0.40712336,2.259901542921943,[-0.850705  0.822601 -0.487423  0.545748 -0.558467  0.554978],[0. 0. 0.],7983,Apartment,Triangle
35,../shapes\Apartment\D00953.obj,4158,[-0.19526575  0.01745154 -0.02631714],[-0.19526571  0.01745165 -0.02631717],[1. 1. 1.],0.4534348,2.5501978450511404,[-0.949201  0.665321 -0.826799  0.896079 -0.444887  0.51871 ],[0. 0. 0.],7140,Apartment,Triangle
36,../shapes\Apartment\m463.obj,2022,[0.40503426 0.42523922 0.29990563],[0.40503395 0.4252393  0.299908  ],[1. 1. 1.],0.3223388,1.335060226859132,[0.025    0.785029 0.025    0.975    0.025    0.574765],[0. 0. 0.],3672,Apartment,Triangle
37,../shapes\Apartment\m464.obj,8301,[0.18442683 0.53221431 0.16114051],[0.1844252  0.53221446 0.16114189],[1. 1. 1.],0.2546842,1.0392689005113842,[0.025    0.347449 0.025    0.975    0.025    0.296305],[0. 0. 0.],12810,Apartment,Triangle
38,../shapes\Apartment\m465.obj,2335,[0.15119548 0.62563062 0.1099707 ],[0.15119568 0.62562406 0.1099706 ],[1. 1. 1.],0.2912669,0.9953313177300607,[0.025    0.21702  0.025    0.975    0.025    0.251523],[0. 0. 0.],4363,Apartment,Triangle
39,../shapes\AquaticAnimal\m53.obj,18409,[0.10102272 0.16914467 0.66439275],[0.10102272 0.1691444  0.6643906 ],[1. 1. 1.],0.21570686,1.0131474709780592,[0.025    0.163371 0.025    0.348761 0.025    0.975   ],[0. 0. 0.],34877,AquaticAnimal,Triangle
40,../shapes\AquaticAnimal\m54.obj,18143,[0.14644469 0.173088   0.64504325],[0.14644477 0.17308845 0.64504415],[1. 1. 1.],0.24775217,1.036903378971387,[0.025    0.254899 0.025    0.371143 0.025    0.975   ],[0. 0. 0.],33836,AquaticAnimal,Triangle
41,../shapes\AquaticAnimal\m55.obj,19505,[0.09274598 0.17740759 0.68372766],[0.09274594 0.17740712 0.68372744],[1. 1. 1.],0.22373748,1.0262183705692973,[0.025    0.18151  0.025    0.380146 0.025    0.975   ],[0. 0. 0.],37072,AquaticAnimal,Triangle
42,../shapes\AquaticAnimal\m56.obj,5814,[0.09715948 0.17070122 0.7132265 ],[0.09715948 0.17070135 0.7132264 ],[1. 1. 1.],0.21155004,1.0200474415757301,[0.025    0.168956 0.025    0.367452 0.025    0.975   ],[0. 0. 0.],10893,AquaticAnimal,Triangle
43,../shapes\AquaticAnimal\m57.obj,18878,[0.08475104 0.18853803 0.66922081],[0.08475105 0.1885381  0.6692231 ],[1. 1. 1.],0.21900342,1.024436912751166,[0.025    0.143963 0.025    0.389443 0.025    0.975   ],[0. 0. 0.],36278,AquaticAnimal,Triangle
44,../shapes\AquaticAnimal\m58.obj,477,[0.27601371 0.23163506 0.49227723],[0.27601388 0.23163493 0.49227738],[1. 1. 1.],0.29415813,1.1792030266579834,[0.025    0.537049 0.025    0.500211 0.025    0.975   ],[0. 0. 0.],950,AquaticAnimal,Triangle
45,../shapes\AquaticAnimal\m59.obj,44,[0.125      0.125      0.51227273],[0.125      0.125      0.51227283],[1. 1. 1.],0.24885839,0.9912114209704807,[0.025 0.225 0.025 0.225 0.025 0.975],[0. 0. 0.],1680,AquaticAnimal,Triangle
46,../shapes\AquaticAnimal\m60.obj,1606,[0.18684836 0.19895892 0.64861961],[0.18684822 0.19895865 0.64861953],[1. 1. 1.],0.23115683,1.0741066493307236,[0.025    0.348674 0.025    0.407675 0.025    0.975   ],[0. 0. 0.],3208,AquaticAnimal,Triangle
47,../shapes\AquaticAnimal\m61.obj,216,[0.10852948 0.2092876  0.6003623 ],[0.10852952 0.20928761 0.60036194],[1. 1. 1.],0.24890345,1.0506849200749244,[0.025    0.18743  0.025    0.443396 0.025    0.975   ],[0. 0. 0.],337,AquaticAnimal,Triangle
48,../shapes\AquaticAnimal\m62.obj,241,[0.07812209 0.38389136 0.55283675],[0.0781221 0.3838913 0.5528368],[1. 1. 1.],0.29668564,1.1992616384628465,[0.025    0.131276 0.025    0.749178 0.025    0.975   ],[0. 0. 0.],478,AquaticAnimal,Triangle
49,../shapes\AquaticAnimal\m63.obj,1112,[0.28012325 0.31798494 0.40386306],[0.28012273 0.31798536 0.40386322],[1. 1. 1.],0.24972048,1.3991854087629076,[0.025    0.975    0.025    0.724541 0.025    0.777238],[0. 0. 0.],1792,AquaticAnimal,Triangle
50,../shapes\AquaticAnimal\m64.obj,247,[0.49424081 0.26315442 0.10153025],[0.49424085 0.2631544  0.1015302 ],[1. 1. 1.],0.23697416,1.0939267759987528,[0.025    0.975    0.025    0.545087 0.025    0.1789  ],[0. 0. 0.],444,AquaticAnimal,Triangle
51,../shapes\AquaticAnimal\m65.obj,1004,[0.21253133 0.31948322 0.76287878],[0.21253136 0.31948337 0.7628787 ],[1. 1. 1.],0.17935593,1.174273189191106,[0.025    0.399816 0.025    0.604595 0.025    0.975   ],[0. 0. 0.],1930,AquaticAnimal,Triangle
52,../shapes\AquaticAnimal\m66.obj,4117,[0.24203397 0.30311843 0.5967383 ],[0.24203368 0.3031183  0.5967377 ],[1. 1. 1.],0.28739694,1.1629937426420656,[0.025    0.445705 0.025    0.547553 0.025    0.975   ],[0. 0. 0.],8196,AquaticAnimal,Triangle
53,../shapes\AquaticAnimal\m67.obj,14000,[0.56885554 0.13235448 0.18700061],[0.56885374 0.13235492 0.18700044],[1. 1. 1.],0.2776219,1.0418624798299814,[0.025    0.975    0.025    0.2497   0.025    0.388988],[0. 0. 0.],27996,AquaticAnimal,Triangle
54,../shapes\AquaticAnimal\m68.obj,553,[0.52110382 0.13168083 0.10688983],[0.52110416 0.13168083 0.10688981],[1. 1. 1.],0.19688174,0.9965718611260926,[0.025    0.975    0.025    0.278519 0.025    0.18743 ],[0. 0. 0.],1098,AquaticAnimal,Triangle
55,../shapes\AquaticAnimal\m69.obj,317,[0.19107897 0.10241326 0.65911099],[0.191079   0.10241322 0.6591106 ],[1. 1. 1.],0.26849008,1.0346170824351169,[0.025    0.357325 0.025    0.264776 0.025    0.975   ],[0. 0. 0.],560,AquaticAnimal,Triangle
56,../shapes\AquaticAnimal\m70.obj,320,[0.23972651 0.09855128 0.60813349],[0.23972642 0.09855132 0.6081334 ],[1. 1. 1.],0.25417084,1.0700537165694992,[0.025    0.454415 0.025    0.266076 0.025    0.975   ],[0. 0. 0.],560,AquaticAnimal,Triangle
57,../shapes\AquaticAnimal\m71.obj,420,[0.17547676 0.15357734 0.64460927],[0.17547682 0.15357733 0.6446095 ],[1. 1. 1.],0.25378537,1.0550741994056554,[0.025    0.32599  0.025    0.371535 0.025    0.975   ],[0. 0. 0.],836,AquaticAnimal,Triangle
58,../shapes\AquaticAnimal\m72.obj,331,[0.24060458 0.10216127 0.59096552],[0.24060462 0.10216119 0.5909651 ],[1. 1. 1.],0.25571853,1.0700459221918832,[0.025    0.456203 0.025    0.262828 0.025    0.975   ],[0. 0. 0.],590,AquaticAnimal,Triangle
59,../shapes\AquaticAnimal\m73.obj,285,[0.4612261  0.2701536  0.20001645],[0.46122614 0.2701536  0.20001648],[1. 1. 1.],0.32917947,1.1700709415380086,[0.025    0.975    0.025    0.610865 0.025    0.376181],[0. 0. 0.],564,AquaticAnimal,Triangle
60,../shapes\AquaticAnimal\m74.obj,162,[0.18431922 0.16889793 0.71176307],[0.18431918 0.16889794 0.7117629 ],[1. 1. 1.],0.25480148,1.0483367119157634,[0.025    0.354455 0.025    0.321596 0.025    0.975   ],[0. 0. 0.],336,AquaticAnimal,Triangle
61,../shapes\AquaticAnimal\m75.obj,298,[0.28159955 0.10749714 0.57106335],[0.28159952 0.10749719 0.571063  ],[1. 1. 1.],0.22005805,1.1141408328656142,[0.025    0.538384 0.025    0.299311 0.025    0.975   ],[0. 0. 0.],512,AquaticAnimal,Triangle
62,../shapes\AquaticAnimal\m76.obj,1583,[0.21049104 0.18392733 0.69685171],[0.21049133 0.18392743 0.6968537 ],[1. 1. 1.],0.24612297,1.0713379479417378,[0.025   0.39593 0.025   0.35314 0.025   0.975  ],[0. 0. 0.],3164,AquaticAnimal,Triangle
63,../shapes\AquaticAnimal\m77.obj,11578,[0.35956217 0.15168138 0.39463581],[0.35956195 0.15168121 0.39463773],[1. 1. 1.],0.24685763,1.1801773147511345,[0.025    0.975    0.025    0.407994 0.025    0.611203],[0. 0. 0.],23022,AquaticAnimal,Triangle
64,../shapes\AquaticAnimal\m78.obj,468,[0.34534002 0.24435991 0.26694712],[0.34534004 0.24436    0.26694703],[1. 1. 1.],0.27297089,1.143142482787102,[0.025    0.975    0.025    0.51665  0.025    0.428181],[0. 0. 0.],734,AquaticAnimal,Triangle
65,../shapes\AquaticAnimal\m79.obj,166,[0.54346979 0.08748187 0.18520658],[0.5434697  0.08748189 0.18520659],[1. 1. 1.],0.2260531,1.0159197469431767,[0.025    0.975    0.025    0.256171 0.025    0.300958],[0. 0. 0.],226,AquaticAnimal,Triangle
66,../shapes\AquaticAnimal\m80.obj,1104,[0.50281032 0.11825161 0.18376995],[0.5028103  0.11825162 0.18376987],[1. 1. 1.],0.25333422,1.0658196012804333,[0.025    0.975    0.025    0.308883 0.025    0.416001],[0. 0. 0.],2104,AquaticAnimal,Triangle
67,../shapes\AquaticAnimal\m81.obj,857,[0.21681205 0.10910881 0.54467882],[0.2168117  0.10910881 0.54467916],[1. 1. 1.],0.24885288,1.0606443022357974,[0.025  0.4145 0.025  0.291  0.025  0.975 ],[0. 0. 0.],1673,AquaticAnimal,Triangle
68,../shapes\Bed\D00031.obj,1867,[-0.16601179  0.05554633  0.02336353],[-0.16601163  0.05554634  0.02336352],[1. 1. 1.],0.6624385,2.22610832497727,[-0.669666  0.930426 -0.708463  0.726534 -0.267503  0.312193],[0. 0. 0.],3590,Bed,Triangle
69,../shapes\Bed\D00110.obj,1926,[-0.03127064 -0.08932412 -0.08983198],[-0.03127063 -0.08932419 -0.08983195],[1. 1. 1.],0.7529349,2.1334845610937725,[-0.8889    0.75223  -0.718484  0.524562 -0.220014  0.339705],[0. 0. 0.],3644,Bed,Triangle
70,../shapes\Bed\D00121.obj,15368,[-0.19096226  0.11417259  0.20733451],[-0.19096313  0.11417274  0.2073346 ],[1. 1. 1.],0.7465266,2.4296461439126964,[-0.912283  0.78579  -0.599669  0.858504 -0.482021  0.463209],[0. 0. 0.],24612,Bed,Triangle
71,../shapes\Bed\D00184.obj,7218,[-0.17546487 -0.07941271 -0.08724491],[-0.17546462 -0.0794127  -0.08724485],[1. 1. 1.],0.63416165,2.4336311122683925,[-0.937684  0.750002 -0.891329  0.664602 -0.466361  0.341943],[0. 0. 0.],14204,Bed,Triangle
72,../shapes\Bed\D00210.obj,22063,[0.04673397 0.13860616 0.09492345],[0.04673425 0.13860624 0.09492391],[1. 1. 1.],0.70215416,2.2544680379474853,[-0.667887  0.81694  -0.532688  0.866731 -0.412555  0.546372],[0. 0. 0.],34247,Bed,Triangle
73,../shapes\Bed\D00213.obj,2277,[0.26688259 0.05993948 0.01982444],[0.26688278 0.05993949 0.01982445],[1. 1. 1.],0.6713207,2.0197405899350724,[-0.955079  0.747501 -0.365319  0.50444  -0.375599  0.275625],[0. 0. 0.],4536,Bed,Triangle
74,../shapes\Bed\D00217.obj,3238,[ 0.02038105 -0.04972795 -0.01121303],[ 0.02038142 -0.04972796 -0.01121302],[1. 1. 1.],0.8885425,2.101360618478942,[-0.842601  0.881592 -0.54509   0.411619 -0.3038    0.422549],[0. 0. 0.],6272,Bed,Triangle
75,../shapes\Bed\D00307.obj,2644,[-0.13253326 -0.07024604 -0.01286709],[-0.13253328 -0.07024613 -0.01286708],[1. 1. 1.],0.63912725,2.561521723066482,[-0.820216  0.991699 -0.833938  0.872106 -0.213808  0.392634],[0. 0. 0.],5259,Bed,Triangle
76,../shapes\Bed\D00322.obj,9342,[-0.04922402  0.1255048   0.1444177 ],[-0.04922398  0.12550463  0.14441787],[1. 1. 1.],0.79874307,2.319564616912739,[-0.94314   0.864001 -0.415536  0.599245 -0.520955  0.520602],[0. 0. 0.],14796,Bed,Triangle
77,../shapes\Bed\D00417.obj,12808,[-0.2278811  0.0796157  0.0639705],[-0.22788085  0.07961588  0.06397047],[1. 1. 1.],0.7189591,2.0956856596401985,[-0.799888  0.796046 -0.509407  0.668083 -0.374758  0.302302],[0. 0. 0.],24736,Bed,Triangle
78,../shapes\Bed\D00538.obj,7136,[-0.00475788  0.1146729   0.10265701],[-0.00475778  0.11467285  0.10265711],[1. 1. 1.],0.9091634,2.1802635842124527,[-0.838246  0.8386   -0.479658  0.702627 -0.325735  0.411787],[0. 0. 0.],13868,Bed,Triangle
79,../shapes\Bed\D00545.obj,415,[-0.00745234  0.1494848   0.02958728],[-0.00745237  0.14948475  0.02958726],[1. 1. 1.],0.8176448,2.232170978923369,[-0.832734  0.876784 -0.47967   0.747412 -0.39825   0.346334],[0. 0. 0.],838,Bed,Triangle
80,../shapes\Bed\D00552.obj,6349,[ 0.20366086  0.12669366 -0.01943615],[ 0.20366019  0.12669359 -0.0194362 ],[1. 1. 1.],0.49138036,2.2224156726915556,[-1.05698   0.489625 -0.719045  0.71651  -0.464456  0.232915],[0. 0. 0.],12251,Bed,Triangle
81,../shapes\Bed\D00565.obj,826,[ 0.14469237  0.10074177 -0.02596827],[ 0.14469245  0.10074165 -0.02596826],[1. 1. 1.],0.4760286,2.216823003327386,[-1.08588   0.602982 -0.605613  0.718594 -0.375019  0.180431],[0. 0. 0.],1628,Bed,Triangle
82,../shapes\Bed\D00650.obj,3752,[-0.01456413 -0.08215799 -0.07833704],[-0.01456432 -0.08215807 -0.07833708],[1. 1. 1.],0.9017601,2.058126779485919,[-0.863733  0.833154 -0.550605  0.377532 -0.421559  0.282019],[0. 0. 0.],7443,Bed,Triangle
83,../shapes\Bed\D00735.obj,453,[-0.13221454  0.1241256   0.04714398],[-0.13221453  0.12412558  0.04714396],[1. 1. 1.],0.48421863,2.3951179128341904,[-0.644923  1.11344  -0.684425  0.73777  -0.312594  0.476146],[0. 0. 0.],684,Bed,Triangle
84,../shapes\Bed\D00836.obj,1563,[-0.07308791  0.0924344   0.006846  ],[-0.07308794  0.09243441  0.006846  ],[1. 1. 1.],0.62039334,2.1274373223381358,[-0.795864  0.919097 -0.365307  0.512459 -0.304602  0.597853],[0. 0. 0.],3154,Bed,Triangle
85,../shapes\Bed\D00839.obj,16364,[ 0.03929743 -0.17861752  0.07427842],[ 0.03929669 -0.17861785  0.07427839],[1. 1. 1.],0.79635864,2.2976935387679847,[-0.800648  0.864395 -0.877287  0.569772 -0.351917  0.290771],[0. 0. 0.],32648,Bed,Triangle
86,../shapes\Bed\D00969.obj,13151,[-0.21046378 -0.11232573  0.01142498],[-0.21046357 -0.11232578  0.01142499],[1. 1. 1.],0.70875746,2.4221710389588695,[-0.906979  0.798208 -0.928304  0.569391 -0.466867  0.379395],[0. 0. 0.],23918,Bed,Triangle
87,../shapes\Bed\D00988.obj,768,[-0.02720179 -0.15077992 -0.07567323],[-0.02720174 -0.15077995 -0.0756733 ],[1. 1. 1.],0.91409916,2.165772248492785,[-0.867888  0.815509 -0.726326  0.426407 -0.517681  0.208921],[0. 0. 0.],624,Bed,Triangle
88,../shapes\Bed\m945.obj,8116,[0.39613052 0.38241076 0.26370737],[0.39613196 0.38240713 0.26370686],[1. 1. 1.],0.31508142,1.4266291460504734,[0.025    0.740004 0.025    0.813378 0.025    0.975   ],[0. 0. 0.],15659,Bed,Triangle
89,../shapes\Bed\m946.obj,449,[0.25959603 0.30950911 0.4999058 ],[0.2595961  0.30950928 0.49990594],[1. 1. 1.],0.4978762,1.158749227935294,[0.025    0.494149 0.025    0.494147 0.025    0.975   ],[0. 0. 0.],644,Bed,Triangle
90,../shapes\Bed\m947.obj,441,[0.37350127 0.25099169 0.4999939 ],[0.3735007  0.25099197 0.49999413],[1. 1. 1.],0.5216757,1.2510324928577836,[0.025    0.721994 0.025    0.445454 0.025    0.975   ],[0. 0. 0.],584,Bed,Triangle
91,../shapes\Bed\m948.obj,4597,[0.51297679 0.44666995 0.42297758],[0.5129776  0.44666904 0.42297286],[1. 1. 1.],0.62655187,1.5916807076358457,[0.025    0.975    0.025    0.893382 0.025    0.961408],[0. 0. 0.],9038,Bed,Triangle
92,../shapes\Bed\m949.obj,706,[0.40554045 0.4242143  0.25340041],[0.405541   0.42421404 0.25339842],[1. 1. 1.],0.42208907,1.4091943731765362,[0.025    0.956207 0.025    0.975    0.025    0.489954],[0. 0. 0.],1388,Bed,Triangle
93,../shapes\Bed\m950.obj,437,[0.39720744 0.44493801 0.49997185],[0.3972077  0.44493774 0.49997178],[1. 1. 1.],0.63385785,1.4844177333930204,[0.025    0.769384 0.025    0.889227 0.025    0.975   ],[0. 0. 0.],724,Bed,Triangle
94,../shapes\Bed\m951.obj,363,[0.4114844  0.31742435 0.29785435],[0.41148472 0.31742477 0.29785427],[1. 1. 1.],0.39323086,1.327342192204325,[0.025    0.797947 0.025    0.536752 0.025    0.975   ],[0. 0. 0.],572,Bed,Triangle
95,../shapes\Bicycle\D00016.obj,2769,[ 0.04350924  0.05789344 -0.00688587],[ 0.04350908  0.05789348 -0.00688586],[1. 1. 1.],0.58659184,2.2908050752248346,[-0.914299  0.959955 -0.44062   0.818183 -0.209935  0.177847],[0. 0. 0.],5049,Bicycle,Triangle
