,AircraftBuoyant,Apartment,AquaticAnimal,Bed,Bicycle,Biplane,Bird,Bookset,Bottle,BuildingNonResidential,Bus,Car,Cellphone,Chess,City,ClassicPiano,Computer,ComputerKeyboard,Cup,DeskLamp,DeskPhone,Door,Drum,Fish,FloorLamp,Glasses,Guitar,Gun,Hand,Hat,Helicopter,House,HumanHead,Humanoid,Insect,Jet,Knife,MilitaryVehicle,Monitor,Monoplane,Motorcycle,Mug,MultiSeat,Musical_Instrument,NonWheelChair,PianoBoard,PlantIndoors,PlantWildNonTree,Quadruped,RectangleTable,Rocket,RoundTable,Shelf,Ship,Sign,Skyscraper,Spoon,Starship,SubmachineGun,Sword,Tool,Train,Tree,Truck,TruckNonContainer,Vase,Violin,Wheel,WheelChair
Bus,4.541524887084961,4.577425479888916,5.725344181060791,5.068814754486084,5.192718029022217,5.038305282592773,4.98105525970459,5.869844436645508,4.2304229736328125,4.988519668579102,4.764830589294434,4.269842147827148,4.077284336090088,4.449462890625,5.081029891967773,4.65205192565918,4.710916042327881,5.093845844268799,4.956696510314941,5.0231428146362305,4.5057525634765625,4.732934474945068,5.924069881439209,4.808819770812988,4.881545066833496,5.7831711769104,4.792018890380859,4.618162155151367,4.391008377075195,4.65855073928833,5.132028102874756,4.661157608032227,5.507735729217529,4.692481517791748,5.422754287719727,5.070479393005371,4.872782230377197,4.064000606536865,4.835554122924805,5.0536723136901855,4.560031890869141,4.521177768707275,4.47117280960083,4.785427093505859,4.999764919281006,5.422459602355957,5.628196716308594,5.125023365020752,4.607006549835205,5.264890670776367,4.708746910095215,4.9373369216918945,4.881417751312256,4.696130752563477,5.13264799118042,4.240833759307861,4.910891532897949,4.6095662117004395,4.8211846351623535,5.379448890686035,4.88470458984375,4.630972862243652,5.853072166442871,4.36191987991333,4.126653671264648,4.894381523132324,4.462967872619629,4.41637659072876,4.8484649658203125
Car,2.2906224727630615,3.0021586418151855,2.8416481018066406,2.980489730834961,2.0788779258728027,1.9511492252349854,1.9289171695709229,5.777163505554199,2.101881265640259,2.7712132930755615,4.269842147827148,1.62407648563385,2.162757396697998,1.5682010650634766,2.2676191329956055,2.9581692218780518,2.363990545272827,4.350811004638672,2.191248655319214,1.9217485189437866,2.1973578929901123,2.181161403656006,5.259248733520508,1.7127716541290283,1.9007389545440674,2.9846384525299072,1.9262306690216064,1.7477929592132568,1.5126607418060303,1.990896224975586,2.036496639251709,2.5771992206573486,4.332067012786865,1.6715232133865356,2.4728994369506836,1.991312861442566,2.8164751529693604,1.7365843057632446,2.864565134048462,1.9572641849517822,1.574204444885254,2.0302515029907227,1.973785161972046,1.8920828104019165,1.901723027229309,4.338237762451172,2.8383443355560303,2.2100770473480225,1.5597397089004517,2.6372177600860596,1.8654667139053345,2.201249361038208,2.867302417755127,1.7646112442016602,2.3102753162384033,2.506443738937378,2.178905487060547,1.7252448797225952,1.858886957168579,2.588773012161255,1.903234839439392,2.318294048309326,2.8840107917785645,3.0066871643066406,2.6867494583129883,2.5977163314819336,1.9190423488616943,2.3335299491882324,1.7284070253372192
Cellphone,2.328734874725342,3.506514310836792,3.4800353050231934,3.6070775985717773,3.1614303588867188,3.048921823501587,2.823115587234497,5.990407466888428,1.733941912651062,3.675480365753174,4.077284336090088,2.162757396697998,1.286582350730896,2.212203025817871,3.283679723739624,3.915544033050537,3.169908046722412,3.514404058456421,3.1829869747161865,2.927006244659424,2.681576728820801,2.6246070861816406,5.630450248718262,2.5638115406036377,2.8916704654693604,3.8910601139068604,2.38874888420105,2.233959674835205,2.0260608196258545,3.0380399227142334,3.035444736480713,3.313459873199463,4.202819347381592,2.3933777809143066,3.402761697769165,2.960981845855713,2.5181143283843994,2.4386837482452393,3.4495785236358643,2.9273791313171387,2.6590805053710938,3.0836777687072754,2.6244006156921387,2.5690865516662598,3.021547555923462,4.518800258636475,3.955839157104492,3.2879574298858643,2.354081153869629,3.601377487182617,2.2106668949127197,3.204031229019165,3.6825952529907227,2.364227294921875,3.005328893661499,2.655179738998413,2.617682695388794,2.5528512001037598,2.4333884716033936,3.220621347427368,2.5569753646850586,2.7814552783966064,3.9089205265045166,3.180051803588867,3.3586087226867676,3.3222224712371826,1.9406259059906006,2.6587014198303223,2.892484664916992
Chess,2.0707812309265137,3.012880802154541,2.5127594470977783,2.7749905586242676,1.865876317024231,1.7596774101257324,1.6560161113739014,5.862919330596924,2.060148239135742,2.630842685699463,4.449462890625,1.5682010650634766,2.212203025817871,1.152214765548706,2.0873632431030273,3.0276005268096924,2.1149022579193115,4.482722759246826,1.9476916790008545,1.6610257625579834,1.996930480003357,1.9924876689910889,5.311916351318359,1.3864455223083496,1.6974303722381592,2.6451001167297363,1.6787095069885254,1.5129408836364746,1.1772435903549194,1.8678370714187622,1.7957125902175903,2.465615749359131,4.190002918243408,1.4035329818725586,2.2016522884368896,1.7534165382385254,2.697023391723633,1.7229671478271484,2.6866695880889893,1.720636010169983,1.4152876138687134,1.9337654113769531,1.8141403198242188,1.6636539697647095,1.655500888824463,4.25454044342041,2.6871280670166016,2.0462002754211426,1.2232917547225952,2.3909013271331787,1.638715147972107,1.959356665611267,2.798349618911743,1.5236419439315796,2.0681185722351074,2.568620443344116,1.9565644264221191,1.526926040649414,1.5963654518127441,2.3611762523651123,1.6237192153930664,2.3084452152252197,2.6808743476867676,3.0935440063476562,2.848893642425537,2.4441137313842773,1.7502918243408203,2.30129075050354,1.5232243537902832
City,3.123441457748413,3.437197208404541,2.833479166030884,2.919340133666992,1.3720202445983887,1.363267183303833,1.6028883457183838,6.365522861480713,3.0544354915618896,2.6858701705932617,5.081029891967773,2.2676191329956055,3.283679723739624,2.0873630046844482,1.6115515232086182,3.1294846534729004,2.4944865703582764,5.27922248840332,1.901342511177063,1.5083953142166138,2.527395248413086,2.2289721965789795,5.779931545257568,1.587042212486267,1.5639146566390991,2.1807920932769775,1.980329990386963,1.8808114528656006,2.1116933822631836,1.9767522811889648,1.435987114906311,2.7892680168151855,5.332870960235596,1.689632773399353,2.061445713043213,1.4344059228897095,3.2263989448547363,2.3491573333740234,3.0455970764160156,1.4253329038619995,1.4517077207565308,2.1461234092712402,2.288252115249634,1.7762796878814697,1.4338411092758179,4.859259605407715,2.389761209487915,1.5847305059432983,1.75376296043396,2.199148654937744,2.0254313945770264,1.9771738052368164,2.7804291248321533,1.8003963232040405,1.9621293544769287,3.1112489700317383,2.0952064990997314,1.705682635307312,1.7656258344650269,2.173586845397949,1.7630386352539062,2.672199249267578,2.3306074142456055,3.6397979259490967,3.155756711959839,2.9320719242095947,2.3792800903320312,3.0477826595306396,1.369073748588562
ClassicPiano,3.714858055114746,3.2024924755096436,4.290466785430908,3.562340021133423,3.2284739017486572,3.062966823577881,3.221255302429199,5.270851135253906,3.736556053161621,3.127995729446411,4.652052402496338,2.9581692218780518,3.915544033050537,3.0276005268096924,3.1294851303100586,2.6476664543151855,3.0218253135681152,5.43055534362793,3.0703158378601074,3.1687307357788086,3.2199530601501465,3.4244391918182373,4.933555603027344,3.127335786819458,2.997108221054077,3.926713228225708,3.44037127494812,3.246134042739868,3.099135637283325,2.7173874378204346,3.248594284057617,3.0280983448028564,5.180529594421387,3.1413161754608154,3.6338040828704834,3.2212042808532715,4.324188709259033,2.5586929321289062,3.4402523040771484,3.2135238647460938,2.641035318374634,2.523437261581421,3.003427743911743,3.208409547805786,3.0201492309570312,4.729886054992676,3.5850517749786377,3.1307780742645264,3.0290446281433105,3.3796606063842773,3.435149669647217,3.0206804275512695,3.1306447982788086,3.2163844108581543,3.5319459438323975,3.345587968826294,3.553048610687256,2.936208486557007,3.3572311401367188,3.8257088661193848,3.3649022579193115,3.3528590202331543,3.9397544860839844,3.6139824390411377,2.6702919006347656,3.3597278594970703,3.4921915531158447,3.304657220840454,2.839435338973999
Computer,2.993032932281494,2.778125524520874,3.6556718349456787,2.176565170288086,2.689600944519043,2.61820125579834,2.634699583053589,5.290048599243164,3.049635887145996,2.577120304107666,4.710916042327881,2.3639907836914062,3.169908046722412,2.1149022579193115,2.4944865703582764,3.0218253135681152,1.8612827062606812,5.002527236938477,2.0241775512695312,2.480058193206787,2.2338149547576904,2.4995529651641846,4.804490089416504,2.544963836669922,2.5009236335754395,2.571521043777466,2.8371834754943848,2.6185266971588135,2.3849306106567383,2.2949116230010986,2.667994976043701,2.412386417388916,4.363029479980469,2.531381607055664,2.826650381088257,2.6832351684570312,3.7064802646636963,2.062368869781494,2.3543176651000977,2.703427791595459,2.1880109310150146,2.0765037536621094,2.0258307456970215,2.603912830352783,2.2283270359039307,3.864708185195923,3.136230230331421,2.7347168922424316,2.2765090465545654,2.2234890460968018,2.817103862762451,2.1208016872406006,2.4216814041137695,2.63603138923645,2.7896220684051514,3.2187938690185547,2.9740726947784424,2.4405908584594727,2.757129669189453,3.2967324256896973,2.543116569519043,3.1256086826324463,3.4023938179016113,3.4399170875549316,2.9428892135620117,2.6138598918914795,2.9122910499572754,2.7970194816589355,2.297935962677002
ComputerKeyboard,4.472779273986816,5.016271114349365,5.645930290222168,5.2673020362854,5.380917072296143,5.2681145668029785,5.090137004852295,6.694915294647217,3.8697869777679443,5.417746543884277,5.093846321105957,4.350811004638672,3.514404058456421,4.482722759246826,5.27922248840332,5.4305548667907715,5.002527236938477,4.184757709503174,5.193059921264648,5.16782283782959,4.564167022705078,4.5354390144348145,6.673001289367676,4.858287811279297,5.072031021118164,5.852724075317383,4.608884811401367,4.486701488494873,4.3670148849487305,5.05094575881958,5.281483173370361,5.0528564453125,5.717498779296875,4.688513278961182,5.539769649505615,5.193599224090576,4.208322525024414,4.359399795532227,5.114785194396973,5.1789631843566895,4.817523956298828,5.002633571624756,4.612293243408203,4.751471042633057,5.201105117797852,5.739753246307373,5.977137088775635,5.412337303161621,4.661200523376465,5.488536357879639,4.528244495391846,5.2242865562438965,5.25899076461792,4.639915943145752,5.07266092300415,4.300258159637451,4.717294216156006,4.738245487213135,4.703171253204346,5.293857097625732,4.794873237609863,4.729800224304199,6.036123752593994,4.572098731994629,4.7605085372924805,5.2221245765686035,4.113844394683838,4.6489481925964355,5.101404666900635
Cup,3.0520191192626953,3.043842315673828,3.170630931854248,2.243694543838501,1.8745211362838745,1.8668311834335327,2.021667003631592,5.959345817565918,3.006784439086914,2.4482131004333496,4.956696510314941,2.191248893737793,3.1829872131347656,1.9476916790008545,1.9013423919677734,3.0703155994415283,2.0241775512695312,5.193060398101807,1.5538867712020874,1.7925394773483276,2.304302453994751,2.1594860553741455,5.3446245193481445,1.9743878841400146,1.9096193313598633,1.8793221712112427,2.355013608932495,2.182973861694336,2.1680619716644287,2.0295848846435547,1.9090579748153687,2.484907627105713,4.941556453704834,1.9928563833236694,2.1944992542266846,1.9587815999984741,3.476374387741089,2.1398422718048096,2.5636141300201416,1.9819941520690918,1.7077854871749878,1.9677375555038452,1.9589112997055054,2.0969841480255127,1.5081350803375244,4.386858940124512,2.568621873855591,2.018707036972046,1.8543394804000854,1.7855970859527588,2.357996940612793,1.7277371883392334,2.3376760482788086,2.1405861377716064,2.231851816177368,3.1621973514556885,2.496356725692749,1.9880377054214478,2.2028892040252686,2.6964292526245117,1.9688043594360352,2.865692377090454,2.676368474960327,3.542124032974243,3.071197986602783,2.652759075164795,2.633399486541748,2.905306100845337,1.6219311952590942
DeskLamp,2.6773338317871094,3.517838478088379,2.2690377235412598,3.1476311683654785,0.8069088459014893,0.8425252437591553,1.0312424898147583,6.523942470550537,2.6499905586242676,2.6878883838653564,5.023142337799072,1.9217485189437866,2.927006244659424,1.661025881767273,1.5083953142166138,3.1687307357788086,2.480058193206787,5.16782283782959,1.7925394773483276,0.9328008890151978,2.39165997505188,2.0740268230438232,5.907927513122559,0.97901451587677,1.1204005479812622,2.234844923019409,1.4669522047042847,1.413341999053955,1.5734670162200928,1.7174479961395264,0.8735255599021912,2.780369281768799,5.065077304840088,1.1340432167053223,1.6589908599853516,0.890961766242981,2.836113929748535,2.2136664390563965,3.100130081176758,0.842084527015686,1.0936981439590454,2.0073275566101074,2.1413824558258057,1.3436193466186523,1.0034958124160767,4.92743444442749,2.13759183883667,1.163534164428711,1.2036875486373901,2.251138687133789,1.4944404363632202,1.8368457555770874,2.9890336990356445,1.3004300594329834,1.6117180585861206,2.9046757221221924,1.6307042837142944,1.2468816041946411,1.2237194776535034,1.6983636617660522,1.3051584959030151,2.361966848373413,1.8688358068466187,3.522322654724121,3.158076047897339,2.7508068084716797,1.93603515625,2.75789213180542,0.8739365935325623
DeskPhone,2.7275424003601074,2.9630186557769775,3.324012279510498,2.5615768432617188,2.567481756210327,2.4757063388824463,2.43383526802063,5.494948863983154,2.6427488327026367,2.833144187927246,4.5057525634765625,2.197357654571533,2.681576728820801,1.996930480003357,2.5273947715759277,3.2199532985687256,2.2338149547576904,4.564167022705078,2.304302215576172,2.39165997505188,2.1638011932373047,2.391374111175537,5.064475059509277,2.243360757827759,2.397019863128662,2.8983771800994873,2.468040943145752,2.271859645843506,2.087338447570801,2.3869497776031494,2.514258861541748,2.6143875122070312,4.351548671722412,2.225714683532715,2.8154385089874268,2.481241464614868,3.246973991394043,2.071098566055298,2.6421849727630615,2.474761724472046,2.0964784622192383,2.329512596130371,2.119438648223877,2.3731961250305176,2.2936925888061523,3.9955146312713623,3.218689203262329,2.6730949878692627,2.081024408340454,2.581117868423462,2.4296822547912598,2.3827250003814697,2.750145435333252,2.3084444999694824,2.647036552429199,2.9447875022888184,2.650320053100586,2.2341911792755127,2.3924560546875,3.065619468688965,2.3267650604248047,2.888540267944336,3.343482255935669,3.286790609359741,2.9877095222473145,2.7927563190460205,2.45755934715271,2.724515438079834,2.2552719116210938
Door,2.8571581840515137,3.329835891723633,3.0687203407287598,2.819838285446167,2.1838810443878174,2.1689987182617188,2.1665842533111572,6.16530179977417,2.6263184547424316,2.9157049655914307,4.732934474945068,2.181161403656006,2.6246070861816406,1.9924876689910889,2.2289724349975586,3.4244391918182373,2.4995529651641846,4.5354390144348145,2.1594860553741455,2.074026584625244,2.391373872756958,2.035674571990967,5.658222675323486,1.9960930347442627,2.1367383003234863,2.4850714206695557,2.102510452270508,1.969523310661316,2.047445058822632,2.4107351303100586,2.1609299182891846,2.8422346115112305,4.939478874206543,1.9625506401062012,2.520169734954834,2.132425308227539,2.941385507583618,2.2747256755828857,2.9629709720611572,2.1401896476745605,1.9342713356018066,2.4590871334075928,2.2121777534484863,2.0531184673309326,1.9684669971466064,4.546367645263672,3.0079538822174072,2.3603219985961914,1.9224704504013062,2.4349710941314697,2.1303598880767822,2.2989017963409424,2.8659636974334717,2.028411865234375,2.2752232551574707,2.941127061843872,2.3013761043548584,2.0574159622192383,2.0263452529907227,2.6144609451293945,1.9436378479003906,2.784432888031006,3.0055410861968994,3.4341087341308594,3.223888635635376,3.0013890266418457,2.2073373794555664,2.9800329208374023,1.9991626739501953
