,AircraftBuoyant,Apartment,AquaticAnimal,Bed,Bicycle,Biplane,Bird,Bookset,Bottle,BuildingNonResidential,Bus,Car,Cellphone,Chess,City,ClassicPiano,Computer,ComputerKeyboard,Cup,DeskLamp,DeskPhone,Door,Drum,Fish,FloorLamp,Glasses,Guitar,Gun,Hand,Hat,Helicopter,House,HumanHead,Humanoid,Insect,Jet,Knife,MilitaryVehicle,Monitor,Monoplane,Motorcycle,Mug,MultiSeat,Musical_Instrument,NonWheelChair,PianoBoard,PlantIndoors,PlantWildNonTree,Quadruped,RectangleTable,Rocket,RoundTable,Shelf,Ship,Sign,Skyscraper,Spoon,Starship,SubmachineGun,Sword,Tool,Train,Tree,Truck,TruckNonContainer,Vase,Violin,Wheel,WheelChair
Bus,22.80651143992097,23.0786962466032,23.76995508754554,27.240531936214097,21.681366995291192,22.500566891926518,23.33125650314606,25.51508393296216,20.83380366212544,24.635546662811258,23.993238673684953,21.261106347199185,22.166772935316416,20.46911100794996,25.138645406689665,22.465377574718527,22.7598062038873,24.26890922669521,25.088649269569256,23.71126835373677,21.87187958974126,22.777871259694248,28.73398198142312,20.958556131191823,26.538428592038077,29.11288464660431,26.944712061372027,25.610518250788186,20.961642000423133,23.637167635704674,23.125116231426276,23.13838961906834,25.48204170745342,21.897401535257114,23.295060152536898,23.467236231529377,29.92712327988185,21.28530110551854,25.045419958242274,23.07357730086767,20.323011453100108,24.27203922019874,21.799844768460968,26.44729919121253,22.60112863845128,25.072208069459855,24.30534915853793,24.832648223910827,21.218208298832675,26.72738672915504,25.005673267074556,25.4543848992765,23.53892043387398,24.5178102104593,28.165294453176003,21.40646695634808,29.99256377236262,21.838432744620143,27.08742372727549,38.3880909804996,25.87617164809911,25.292315322320285,25.165293595699456,21.467828656087157,20.31277503119837,23.62677258383372,24.06735072683511,23.141452531075803,21.953809517813465
Car,15.626421523064204,15.786754878113898,18.500724978539477,18.001368752729473,13.559029661368474,14.875927000564245,16.66286868949044,20.574244336058463,14.823450539483842,16.54735210789535,21.261106347199185,12.225896118892422,16.08872392091857,12.17351167297457,18.385057254916926,15.03463932445775,14.062195274564294,22.396960322500036,16.22129490568851,15.404719895688041,14.250848960765229,15.187461985211623,23.196302049156806,14.467998500756394,19.71654129069331,19.495667605131406,22.573908252549504,20.953779203503366,13.57689472492622,14.027752624352477,16.244531517962375,15.323874998445051,19.1744876815759,15.926206364847097,15.276159272397512,17.267788672621233,27.487943462008637,12.771961159425281,16.21727115860403,16.614724336820398,12.808015899582735,15.014528800480509,13.151891860441948,21.000647291698105,13.336376503794284,20.103272856090708,16.868658545740818,18.167446226535606,12.826364511924428,16.86305520264669,20.73567716470195,15.847274842411473,14.769367505725867,19.215369839143627,22.57035184389843,17.204398289143697,26.101166046450025,14.639336996452222,22.97971256401223,34.87399700161097,20.388616499314654,19.857158640159238,17.769291421647953,16.67278762339791,13.415987663986378,15.398794823289066,20.409632697342502,14.695350311025951,12.927426793984537
Cellphone,17.1832288966866,19.906626189026586,18.44886751696829,23.025662658819428,16.487268921405438,17.310415412288656,18.077115553676887,24.044558266789448,14.807590973869452,20.921950038570284,22.166772935316416,16.08872392091857,15.004231290736838,15.25619831293885,19.913803830871746,19.669906530201395,18.947934920132308,20.414265024134878,20.675740929168313,18.70717578707904,16.845162132767154,17.17816610177973,26.814370667253733,15.444436383911588,21.694239972811946,23.915697692808926,21.995901201140825,20.393757503763187,15.431264472899079,19.378731500090204,17.77135739085007,19.47592327754316,21.665965315677497,16.62083193793866,18.090558043761312,18.07440741312727,24.71278166662044,16.96997873034309,20.837910612741435,17.74063032165754,15.373732170177036,20.614029840841027,17.34303787812361,21.61492963646679,17.73471781179014,22.20295066863829,19.80929133771597,19.962449992002057,15.746163966835631,22.15244909983191,19.717146285465088,20.999369315289034,20.100211243221015,19.214102351450258,23.16289247032129,17.143700974737353,24.956207770984477,16.590593286401383,21.91148514651122,33.42444770477848,20.913674100171615,21.008825639700827,20.16975538018197,18.271026549862338,17.368211436555296,19.759366615489693,18.73574942762595,18.496184790081386,17.141052103001517
Chess,14.7061123700679,15.294581916851062,16.269255366782776,17.35656507058823,12.40984085858351,13.384941240127397,14.901970896467896,20.289895155398185,13.481616735816443,15.885769295318239,20.469111007949955,12.173511672974572,15.256198312938848,9.80559956847565,17.457366629088668,14.563751379677635,12.963433458740777,20.75939697370257,14.773231058309227,14.32714497106924,13.149070141061419,14.087938914333135,22.710832286599647,12.06042790027184,18.0281980365758,18.404810440592712,20.098838157022335,18.51041524286994,11.752913628668106,13.886686062391565,14.598871914948525,14.7334657724627,18.90652001539577,13.494962291156751,13.64035974548398,15.588988666868303,25.332582463969498,12.729693513612771,15.653576500630134,14.879645741023376,11.481772456893356,14.772771872202052,12.1198799612048,18.84586418501174,12.277381979816882,18.771185094118177,15.587503355759896,16.793160864436018,11.340675875491312,16.222965950609197,18.650288904953538,14.946726242367774,14.210215679104154,17.103701870735108,20.6244416281824,15.791542868040933,23.830126784233823,13.23899426961072,20.360070630876432,32.926094745449106,17.74336655477899,18.656305704437354,16.47714537780236,15.726865485980053,13.336571464626136,14.706650433062702,17.930479530747256,14.355902286116946,11.654183805994727
City,20.04787329720137,21.33200325377611,16.824918878956513,24.881576959642665,13.830872618078368,14.153925974901242,15.071285287698641,27.114877986951846,18.5737901707736,19.88626388411769,25.138645406689665,18.385057254916934,19.913803830871746,17.457366629088668,15.10563392587795,19.083804896354117,19.46331350156116,23.04960154529519,20.1956904883401,17.67796433900354,17.980940435759965,16.637122662913825,29.17092475623809,14.134553205548903,19.66254438059595,23.036807956661395,20.53735991432232,19.09525227948537,16.474058729857642,19.103892068432813,14.371851012050785,19.56313504651545,25.877140020134192,15.594192812916056,15.873337585407901,13.951163590192312,24.35900626689093,18.34425158807175,22.904548423733104,13.703845616803125,13.969344268081713,21.008615103215757,19.274546696876858,19.890168621420436,16.258698561099603,24.80351080932334,16.859597462588265,16.393273030872198,15.754098382339762,21.553255146392452,18.789054050359127,20.812917259216363,20.2132936709526,17.489076877669763,20.457986930953997,18.46785807995649,23.008350122731766,15.310160033630044,18.96404812463081,29.08054970026894,19.433902008631232,21.10194184323398,17.024152491415265,20.714224207798456,19.544754288026386,20.933692619573222,18.691370357711754,21.292484232352287,15.743570202301632
ClassicPiano,18.10313068076253,15.764308144610961,19.662102529587745,18.88817406564553,15.228128226970572,15.429655952533436,17.274191282477076,19.095490234165577,18.07775573296346,16.27213659763768,22.465377574718524,15.03463932445775,19.669906530201395,14.563751379677635,19.083804896354117,13.4082832564556,13.986612800436129,24.67623140193139,16.915433871046524,17.42263520421682,15.689142047917624,17.31747086878801,22.40891261532121,16.010516455149194,20.68128930316815,21.027864779277614,24.646584911412525,22.582029156194576,15.483603523701099,14.381788065613902,16.86745092084756,15.256279775871059,20.360702499949884,17.550029305871764,15.883442545226565,17.742447950114048,29.393415577891307,13.736611875838383,17.035425640636806,17.33163879436019,14.24744041398794,15.17725962274532,14.877011526337517,22.372746823471353,13.85202784691423,20.381956676715635,16.69936684859119,18.473129702263517,14.54294619230353,17.522130274279057,22.62170477055968,16.264984815926333,14.657185670380093,20.5373016523966,23.584498787892112,18.657672452545857,27.61464531258621,15.757589462297084,23.985516198775564,35.568612073789495,22.0163692778477,21.65661272518415,18.02016606296272,18.227756050683464,14.079817385945566,16.19469083597582,22.479502036969322,16.191320566047132,13.393256395451719
Computer,16.923625343974376,14.165471441418859,20.132651147273737,15.594117590012043,15.181413367013564,15.750457921688037,17.67882707894046,17.557826948020946,17.50880194636324,15.333448012026954,22.7598062038873,14.062195274564298,18.947934920132308,12.963433458740777,19.463313501561164,13.986612800436129,10.93038801143249,23.73535702715163,14.672532655853157,17.237145936205334,13.568747137782255,15.75262514136634,21.186702157473878,16.24493533697676,20.903693697247988,18.859609921882896,24.88597031797915,22.579340707471534,14.57550713581784,13.296214228300347,17.46621846623568,13.899054005660018,18.463930586279783,17.32416551977,15.148144321420663,18.45920289766248,29.699320297884736,12.971153460694314,14.142271077757973,17.915916878873396,13.98031498021471,13.613551202344365,12.425918855923722,22.366488078033925,12.931916081585173,18.138656370284284,16.836303598258056,19.272970946491952,13.74096388525021,15.06850070948347,23.003034587284453,13.899506110725344,12.657700293600344,20.930453613604076,23.48857470849573,19.114754420758867,28.158647466935697,15.817630215263998,24.576879562135826,36.948029884955865,21.215355093019166,21.832588311128088,18.376075215590777,18.214823871018716,14.250496232981208,14.199615948736673,22.559040114924613,14.543719589823997,12.769848340566613
ComputerKeyboard,23.24032529704853,24.73416939984219,20.969070326175828,29.579039699472276,19.915131939458444,21.65588597104874,21.919869724762773,27.276228426663653,20.018593538097587,26.817641379070906,24.268909226695214,22.396960322500036,20.414265024134874,20.759396973702568,23.04960154529519,24.67623140193139,23.735357027151633,14.574441467153122,25.23904159209507,24.09865487502059,20.780110047848925,19.080277685001885,32.92442332371014,19.600046377657623,25.734455549763258,31.08280754953724,21.399588632886,20.468344691238823,19.696401256041675,26.547446943495988,21.762834311647893,24.912667397605805,28.081197444057747,18.597989682574827,22.2582873599025,20.584559496253625,22.421494185600856,23.70888053540072,26.239810654480113,20.471310116217435,18.724082019605554,27.232689366036173,21.96552316425813,22.346434573814562,23.93979197804473,24.874597662266957,24.689679339590228,24.02147645618973,20.858473951676974,28.50435091705913,20.622902347047333,26.848239886433188,24.58340862486098,21.24366077853005,23.952220050840893,19.182075732980863,24.500449896674294,21.158247934803065,21.641717264391946,34.18258297968017,20.210171782747345,23.810167293765826,24.995247264328075,20.861374586446715,21.974832622326517,25.471918178854676,18.11577347289026,24.847898787444226,23.106978382793766
Cup,19.561463806558017,17.42058644264258,21.293711048725893,16.928231174436878,15.420946172035906,16.495246954623408,18.767910187863457,22.350572831928037,19.31916843165328,17.342892712462895,25.088649269569263,16.22129490568851,20.67574092916831,14.773231058309227,20.1956904883401,16.915433871046524,14.672532655853157,25.239041592095074,14.658800327151692,17.184870962462288,16.51004699051017,17.250850167716248,23.86400990682455,17.047059951006254,20.846781717588367,17.478114600489846,24.931942247000105,23.19677011452967,17.15327475438568,15.400982302468167,17.971211670376487,16.940130923482204,22.732219824220643,17.905945427629426,16.33690233815691,19.20275760701577,30.164451982116276,16.636159216503074,16.451446644161543,18.5170603721805,15.35347213839171,15.47829393870869,14.51493245023899,22.850773749039455,14.045837961861691,21.47544238043439,17.960455484994277,19.719171284307574,15.74352682521479,15.56282843979514,23.62563124117099,14.624437178089122,14.648706014612113,21.758273267911903,23.74068512554094,21.047064165230267,27.90005321825213,17.424361634418013,24.966672408939964,36.10155557116373,21.131702503417603,22.98225624780426,19.203190444628728,20.34715411886893,17.057827792972905,16.870340945041768,23.24566493335326,17.209070097984686,14.048223473119192
DeskLamp,18.418611110928087,19.277150004740225,17.811588143299662,20.634445178840505,12.505595396568818,14.321034511716814,15.879717000553185,25.094476434095018,17.20277491073265,18.26599186572562,23.71126835373677,15.404719895688041,18.70717578707904,14.32714497106924,17.67796433900354,17.42263520421682,17.237145936205334,24.098654875020593,17.184870962462288,14.108332719181698,17.188653650839843,16.480626873914744,26.229085617416303,14.018512380604943,18.38471802054467,18.330404737609015,20.32261427495116,19.73145941763513,15.694905905033284,15.813736751744647,15.076317545768743,18.110690589919454,23.011099786303525,15.500256668774949,15.446654414585941,15.970258265871557,25.579939652684097,16.7144335644721,19.314774695678587,15.261579081175146,13.68684691680446,17.047605973132246,16.045313384023537,19.39255988566854,13.772369280490652,23.447396722757173,16.950218528380578,17.01189535407105,14.390810835260897,18.01710388586709,19.381046641615306,17.140078210774135,17.37003118062299,18.103462493031095,20.66965659627666,18.864625798900327,23.413936207023752,15.387390041555914,20.38034478595425,30.73429071910835,18.84080473947021,20.631331069405356,17.057202457695254,18.917136272936766,16.74266098492131,17.982873206766314,19.51936347744922,17.87373423848636,13.657702678464677
DeskPhone,16.58163343413184,16.185952818672174,18.291618677196606,18.548205614014336,13.743997787145053,14.676709842866826,16.474697287873084,19.98434110957074,15.785991957164802,17.357723801729527,21.87187958974126,14.250848960765229,16.845162132767154,13.149070141061419,17.980940435759965,15.689142047917624,13.568747137782251,20.78011004784893,16.510046990510165,17.188653650839843,12.569624931953065,14.31708023698943,24.311085628090726,14.455324283893987,20.674763176935766,20.96526875349495,22.475695765456752,20.202619437962632,13.496919266832235,16.18044532253764,16.09032262416211,15.716093803154054,20.74581391876393,15.401674734864898,14.779950374844177,16.528920496410972,26.847981472507783,14.244335244123402,16.129559035771013,15.919343176414024,12.61959106493558,17.112085980009365,13.5861771960863,20.977784033048735,14.812628816254604,18.437959676334387,17.159017730011794,18.47695528144404,13.249059964753028,17.910110337935176,20.587352222893916,16.845477538541143,14.649774659519403,19.042808092522517,22.172542260220247,17.1453479377306,25.907318024070925,14.793816402440285,22.268253708042327,35.212891762810195,19.088474323154628,20.516889718378152,18.293403063221884,17.39368654882261,14.675242233302132,16.73761269275363,19.644935257964075,15.77861850249734,14.14414029983291
Door,18.11729548198844,18.24007250663447,17.053667938023526,20.386732417480815,12.247368526470797,14.516657921885262,15.968003664492562,22.83328520678553,16.578603970991516,18.62832007360757,22.777871259694248,15.187461985211625,17.17816610177973,14.087938914333135,16.637122662913825,17.31747086878801,15.75262514136634,19.080277685001885,17.25085016771625,16.480626873914744,14.317080236989426,12.424684959360665,26.747922936399952,14.011488699076706,19.908018919130996,20.489402538973636,19.95353147972883,18.382166483412636,14.415829332764494,17.62960318452912,15.156626981229605,17.46684980200924,23.623659105691985,14.33195631453536,14.869538198973567,15.01481467303814,23.988383987046767,16.111117327195497,17.997716086224226,14.55688158614112,12.788014174968415,18.7976442015439,14.942175726531401,19.181560782001803,14.955209865509591,20.576250380182284,17.43713620636452,17.763253413049057,13.833995557201874,18.58345882318673,18.709041880623765,17.82687227233811,16.290545525021805,17.706404778923048,20.04556114973732,17.296570226556796,23.239909202160064,14.695711670701936,19.68728619945333,31.998662598943238,17.371390610474965,20.216736715411617,18.00106075130289,17.93161153959838,16.129367946654046,18.500195483034915,17.771125696859148,17.98466688332585,14.594169166229804
Drum,23.980825079017805,21.478587368475797,30.203855972670475,22.468526336520213,26.591066191026435,26.95375313648155,28.31881909627757,22.512412883004114,25.596110908942745,22.562193886863994,28.73398198142312,23.196302049156806,26.814370667253733,22.710832286599643,29.170924756238097,22.40891261532121,21.186702157473878,32.92442332371014,23.86400990682455,26.229085617416303,24.311085628090723,26.747922936399952,21.2698710889088,26.66929417925299,29.127444824762247,25.46194690430676,34.8177291195248,33.18080509217983,25.5537540917473,20.6032268122938,28.14528829475224,21.899935042111807,21.698593531218883,28.240811750239203,26.59649676070957,29.61725258180347,38.79713991485229,21.402753042829985,22.183291694652,28.810643375131395,25.516049644303422,19.893549006687763,22.333553346230502,32.552964253547486,22.57961826999463,25.197822487708077,26.689788586395604,29.025401034700767,24.667140198616202,22.991603994057602,33.061217522732015,22.088781762499117,22.033010983955087,31.001344287190282,33.725900383478844,27.365305229435915,37.564327366064724,25.93358283965583,34.62671440417165,44.69857964287251,32.67314051157606,30.76022809900206,28.399624166645612,25.970914937171845,22.050689238662066,20.93202413803711,32.41131120418207,21.832133271695472,23.016924421212668
